final_id,group_id,start_id,freq,text
23,287,0,11, Who caught the ball.
-1,220,1,8, Who caught the ball in the air.
2,46,2,78, It was caught.
58,303,3,3, It was caught outside of the strike zone.
-1,301,4,3, It was thrown.
48,333,5,6, Resulting in a ball.
-1,273,6,5, Resulting in a called ball.
34,357,7,15, The hitter swung.
-1,115,8,4, It was not a strike.
-1,244,9,3, Who fielded the ball.
-1,263,10,4, Who threw the runner out.
26,38,11,41, The ball landed.
-1,346,12,3, The ball landed outside the strike zone.
42,281,13,22, The pitch was.
-1,325,14,4, The batter hit a grounder.
14,323,15,22, The umpire called it a strike.
3,0,16,217, The batter swung.
-1,187,17,3, The batter missed the pitch.
12,45,18,92, The batter hit it.
-1,41,19,15, The batter hit it into territory.
6,1,20,15, The batter hit it into foul territory.
18,7,21,15, It was a ball.
-1,25,22,4, It was a foul ball.
27,196,23,44, The ball went.
-1,188,24,4, The batter flew out.
55,321,25,5, The batter to center.
-1,304,26,4, The centerfielder caught the ball.
5,104,27,131, It was.
-1,17,28,9, He hit it.
51,353,29,6, The outfielder caught it.
39,355,30,12, He swung.
40,130,31,14, The batter hit a fly ball.
-1,63,32,3, It was caught for the out.
31,181,33,23, The umpire called it a ball.
-1,324,34,13, It was called a ball.
3,0,35,29, The batter swung at the pitch.
-1,251,36,5, The hitter hit a line drive.
-1,295,37,3, The shortstop caught the ball.
1,23,38,96, The batter missed.
-1,247,39,10, It a strike.
75,319,40,4, The batter fouled it.
0,16,41,202, The batter did not swing.
-1,356,42,8, This is a strike.
16,43,43,42, The ball was hit.
-1,334,44,3, This ball was hit.
49,279,45,11, It was not caught.
-1,6,46,4, The hitter hit a ground ball.
-1,282,47,4, The pitch was not.
-1,245,48,3, The pitch was not in the strike zone.
-1,253,49,4, To the baseman.
21,260,50,71, It went.
-1,257,51,3, It went into the strike zone.
56,271,52,11, It was not.
-1,202,53,4, It was not in the strike zone.
-1,225,54,4, The ball was called a ball.
59,10,55,5, The ball went into the strike zone.
3,0,56,404, The batter hit the ball.
-1,72,57,14, The batter hit the ball into the outfield.
-1,203,58,6, It was a home run.
-1,299,59,3, The ball traveled.
-1,182,60,5, The umpire signaled.
13,88,61,25, It was a strike.
-1,158,62,4, The batter hit it into the air.
28,39,63,4, The batter hit it to field.
8,11,64,52, It hit the ground.
63,199,65,7, The ball crossed.
70,30,66,17, The batter did not swing at it.
67,227,67,6, It crossed the plate.
10,215,68,87, The ball was.
3,0,69,8, The batter hit the ball into play.
-1,314,70,11, The batter reached base.
15,85,71,40, The batter hit the ball in the air.
25,311,72,27, It landed.
9,337,73,31, The batter hit a ground ball.
-1,233,74,6, The ball was fielded.
60,349,75,6, This resulted.
28,39,76,9, The batter hit the ball into the field.
28,39,77,8, The batter hit the ball into the field of play.
-1,343,78,3, The ball landed on the ground.
3,0,79,16, The batter swung at the ball.
1,23,80,13, The batter missed it.
-1,261,81,4, The umpire determined.
-1,289,82,11, The ball was out of the strike zone.
-1,240,83,7, The ball went out of play.
11,22,84,75, The batter made contact.
-1,278,85,30, The batter made contact with the ball.
-1,296,86,7, Out of play.
50,64,87,11, The ball was not caught.
29,152,88,6, It was a hit.
59,10,89,3, The ball went through the strike zone.
44,285,90,7, The batter did not make contact.
-1,226,91,3, The ball did not go.
-1,15,92,3, The ball did not go through the strike zone.
61,189,93,13, It was fielded.
47,86,94,8, The batter was.
-1,204,95,3, The ball did not cross the plate.
-1,360,96,3, The ball was called a ball by the umpire.
7,34,97,69, The batter hit the ball on the ground.
-1,305,98,3, The batter hit the ball to the stop.
-1,252,99,3, The batter hit the ball to the short stop.
-1,161,100,13, The batter missed for a strike.
-1,18,101,23, The batter hit the ball to the baseman.
-1,12,102,20, The batter hit the ball on the ground to the baseman.
-1,4,103,10, The batter hit the ball to the third baseman.
-1,4,104,9, The batter hit the ball on the ground to the third baseman.
43,256,105,17, The ball crossed the plate.
-1,125,106,6, The ball was called a strike.
-1,302,107,6, The ball was called a strike by the umpire.
18,7,108,9, It is a ball.
-1,25,109,4, It is a foul ball.
-1,239,110,21, It was caught in the air.
-1,329,111,17, It was caught by the center fielder.
-1,266,112,9, It was caught in the air by the center fielder.
-1,72,113,21, The batter hit the ball to the outfield.
41,14,114,4, It went out of the strike zone.
30,342,115,15, It was in the strike zone.
-1,21,116,18, It was outside the strike zone.
-1,320,117,4, This makes.
-1,237,118,5, The batter did not make contact with the ball.
18,7,119,8, It a ball.
-1,25,120,8, It a foul ball.
24,51,121,9, The outfielder caught the ball.
-1,231,122,3, It did not go.
70,30,123,23, The batter did not swing at the ball.
41,14,124,12, It was out of the strike zone.
20,9,125,15, The ball was in the strike zone.
0,16,126,57, The batter didn't swing.
70,30,127,7, The batter didn't swing at it.
-1,322,128,4, The batter hit it out of bounds.
-1,318,129,8, It touched the ground.
32,308,130,10, The fielder caught it.
-1,3,131,4, The right fielder caught it.
-1,326,132,11, The baseman caught it.
-1,209,133,5, The third baseman caught it.
38,75,134,18, It bounced.
2,46,135,10, That was caught.
-1,230,136,4, Who threw him out.
-1,12,137,8, The batter hit a ground ball to the baseman.
-1,4,138,5, The batter hit a ground ball to the third baseman.
-1,228,139,3, The batter did swing.
-1,341,140,5, The batter fouled off the pitch.
-1,191,141,4, The batter hit the ball behind him.
7,34,142,6, The batter hit it on the ground.
-1,312,143,8, Into field.
-1,249,144,5, Into center field.
-1,288,145,3, To the third baseman.
-1,338,146,3, Who threw the batter out.
-1,170,147,3, Who threw the batter out at base.
-1,248,148,3, Who threw the batter out at first base.
18,7,149,3, Which is a ball.
-1,347,150,8, The batter hit the ball into the stands.
-1,200,151,4, It was caught by the baseman.
69,2,152,5, The umpire ruled.
-1,126,153,18, The batter hit the ball into territory.
6,1,154,18, The batter hit the ball into foul territory.
-1,19,155,3, Pitch outside strike zone.
-1,241,156,4, It was a ground ball.
-1,21,157,7, It was outside of the strike zone.
-1,242,158,3, The batter put the ball.
-1,235,159,5, The batter made it.
-1,236,160,9, It was below the strike zone.
71,26,161,8, The hitter did not swing.
-1,255,162,3, The ball was hit out.
17,177,163,27, The fielder caught the ball.
-1,3,164,12, The right fielder caught the ball.
-1,126,165,10, The batter hit the ball in territory.
-1,345,166,4, The batter hit the ball into the stands in territory.
6,1,167,9, The batter hit the ball in foul territory.
6,1,168,4, The batter hit the ball into the stands in foul territory.
-1,258,169,9, The batter was thrown out.
52,62,170,7, The ball hit the ground.
71,26,171,3, The hitter didn't swing.
-1,354,172,5, The hitter hit it.
-1,317,173,4, The ball was inside the strike zone.
-1,280,174,4, The umpire judged.
22,224,175,26, The hitter hit the ball.
-1,160,176,5, The batter hit the ball to the fielder.
-1,348,177,3, The batter hit the ball to the left fielder.
-1,143,178,6, The left fielder caught the ball.
3,0,179,14, Batter hit the ball.
3,0,180,10, The batter hit a ball.
19,5,181,6, The batter hit the ball foul.
-1,63,182,7, It was caught for an out.
-1,216,183,3, He outfield.
3,0,184,3, The batter hit ball.
-1,265,185,3, The batter caught the ball.
-1,123,186,10, The batter made contact with the pitch.
70,30,187,31, The batter did not swing at the pitch.
-1,158,188,4, The batter hit it in the air.
-1,277,189,3, The umpire ruled the pitch a ball.
