final_id,group_id,start_id,freq,text
14,687,0,8, who caught the ball in the air
4,5,1,1, the hitter hit a ground ball to the shortstop before being thrown out at first base
-1,43,2,1, it was caught outside of the strike zone for a called ball
-1,560,3,1, it was thrown high and away resulting in a called ball
4,5,4,1, the hitter swung and fouled the ball off to the third base side
0,4,5,1, it was thrown down and away outside of the strike zone resulting in a ball
34,167,6,4, it was not a strike
4,5,7,1, who fielded the ball and threw the runner out at first base
4,5,8,1, the batter fouled the pitch off to behind home plate resulting in a foul ball
0,4,9,3, the ball landed outside the strike zone
-1,577,10,1, the pitch was very low and inside
4,5,11,1, the batter hit a grounder to the shortstop
-1,831,12,1, tossed the ball to the second basement to start the double play
6,93,13,11, the umpire called it a strike
4,5,14,1, the batter popped up the ball to the first baseman
-1,663,15,1, made the catch to get the out
4,5,16,2, the batter swung and missed the pitch
-1,655,17,1, a fastball clocked at 92mph
4,5,18,10, the batter hit it into foul territory
-1,38,19,1, the player couldn't catch the ball
-1,488,20,1, it was only a foul ball
4,5,21,3, the ball went into foul territory
-1,651,22,1, the batter smoked the hit past the centerfielder for a hit
38,648,23,4, the batter flew out to center
4,5,24,2, the centerfielder caught the ball
-1,703,25,1, he beat out
4,5,26,1, the batter swung and missed it so its a strike
29,46,27,3, he hit it
-1,713,28,1, it was out of play behind him
7,96,29,2, it was a foul ball
17,99,30,1, he swung and missed it
-1,507,31,1, no one was able to get to it
-1,533,32,1, it was outside the zone
2,22,33,1, it ended up being a ball
4,5,34,3, the batter hit a fly ball
4,5,35,1, it was caught by the centerfielder for the out
3,20,36,16, the umpire called it a ball
-1,659,37,3, it was low and inside
-1,91,38,1, it was low
-1,731,39,1, the hitter hit a line drive in the air to the shortstop
-1,15,40,1, the shortstop caught the ball in the air
4,5,41,1, the batter attempted to hit the ball
-1,861,42,1, he missed thus making the pitch a strike
4,5,43,1, the hitter hit a foul ball towards the 3rd base side
4,5,44,1, the ball landed in foul territory
4,5,45,1, the batter hit a grounder to the 3rd baseman
-1,118,46,1, he threw the ball to first for the out
4,5,47,1, the batter swung at the outside pitch but missed
36,806,48,2, this made it a strike
-1,535,49,1, the swung offered at the pitch and missed
-1,130,50,1, line drive
-1,634,51,1, the batter did not hit the ball in fair play
4,5,52,48, the batter swung and missed
-1,791,53,1, it was low and away
-1,665,54,1, the batter faked a bunt and was called a strike
-1,191,55,1, the batter fouled it off of their foot
-1,436,56,1, the batter popped up to second
-1,717,57,1, the batter flied out to center
28,11,58,1, the pitch was went into the strike zone
4,5,59,115, the batter did not swing
5,63,60,5, this is a strike
-1,619,61,1, the ball was hit over the wall
19,95,62,2, this is a home run
-1,719,63,1, this was a fly ball in foul territory
4,5,64,1, the first baseman made the catch
-1,767,65,1, the correct answer is caught in air
4,5,66,1, this ball was hit into the outfield
50,187,67,6, it was not caught
-1,811,68,2, this is an example of a hit
5,63,69,1, that's a strike
4,5,70,1, then the hitter hit a ground ball to third base
-1,83,71,1, it's a perfect example of a ground ball
-1,849,72,1, then the pitch was not in the strike zone making it a ball
4,5,73,1, the ball was hit over the right field wall
19,95,74,1, that's a home run
-1,701,75,1, technically a home run is a hit
-1,607,76,1, who failed to make the play
-1,639,77,1, this is an error
-1,798,78,1, the correct answer is ground ball
-1,830,79,1, it went into the strike zone so was called a strike
4,5,80,11, the batter hit it
-1,582,81,1, it went the foul side of the foul posts
-1,537,82,1, it went close to the batter and was not in the strike zone
2,22,83,9, it was called a ball
-1,813,84,1, the ball went way outside and was called a ball
0,4,85,4, the ball went into the strike zone
4,5,86,72, the batter hit the ball
0,4,87,1, the ball went to outside of the strike zone
4,5,88,1, the batter hit the ball into the outfield
-1,50,89,1, the pitcher got the ball and threw it to first base for the out
-1,482,90,1, the batter hit the ball up high for the pop up catch for the out
4,5,91,1, the batter hit under the ball
-1,519,92,1, it went straight back to the backstop
19,95,93,2, it was a hit home run
-1,755,94,1, the ball traveled over the plate and between the batters shoulders and knees
5,63,95,16, it was a strike
-1,484,96,1, the batter hit it backwards and to the right
-1,632,97,1, it hit the ground before being picked up by the outfielder
4,5,98,1, the batter hit it into the stands to the left of the third base foul line
4,5,99,46, it hit the ground
-1,620,100,1, the ball crossed over the outside edge of the plate at the batters knees
4,5,101,15, the batter did not swing at it
-1,528,102,1, it crossed the plate
4,5,103,1, the batter hit it over the wall in right field
4,5,104,1, then the batter hit the ball into play and safely reached base
-1,673,105,1, a defensive player could get the ball to someone at first base
4,5,106,1, then the batter hit the ball fair and over the outfield wall
-1,809,107,1, which is a type of hit
4,5,108,13, the batter hit the ball in the air
4,5,109,2, it landed on the ground
-1,575,110,1, this game took place in los angeles
-1,431,111,1, what pitch was coming
4,5,112,3, the batter hit a ground ball
-1,432,113,1, the batter could make it there
62,64,114,1, this resulted in an out
4,5,115,2, the batter hit the ball into the field of play
-1,543,116,1, it was able to land safely on the ground
-1,671,117,1, all runners were able to advance safely
-1,483,118,1, get to the ball in time to produce an out
-1,434,119,1, any defensive player could catch it
4,5,120,1, this resulted in a base hit
4,5,121,4, the batter hit the ball outside of the field of play
-1,839,122,1, it came into contact with anything
4,5,123,3, the batter swung at the ball and missed it
-1,527,124,1, the swing combined with no contact
-1,637,125,1, the swing with no contact equals a strike
0,4,126,1, the ball crossed into the strike zone
4,5,127,4, the batter swung at the ball and missed
0,4,128,10, the ball was out of the strike zone
4,5,129,13, the batter made contact with the ball
8,106,130,6, the ball went out of play
-1,36,131,1, nobody in the outfield caught it
-1,669,132,1, the ball went over the wall for a home run
65,354,133,2, it went backwards and out of play
-1,667,134,1, it went to the gap in right
32,42,135,2, the ball was not caught in the air
29,46,136,3, it was a hit
0,4,137,2, the ball went through the strike zone
-1,850,138,1, the batter did not make contact
1,25,139,3, the ball did not go through the strike zone
-1,567,140,1, the batter made contact with the ball and kept it in the field of play
-1,591,141,1, it was fielded
-1,566,142,1, the batter made contact with the ball and kept it in the infield
22,39,143,17, the batter made contact
8,106,144,1, the ball was in the field of play
-1,689,145,1, the play was made on first
48,156,146,3, the ball did not cross the plate inside of the strike zone and was called a ball by the umpire
-1,771,147,2, the batter hit the ball on the ground to the short stop
4,5,148,7, the batter swung at the pitch and missed for a strike
4,5,149,7, the batter hit the ball on the ground to the third baseman
0,4,150,2, the ball crossed the plate inside of the strike zone and was called a strike by the umpire
4,5,151,8, the batter hit the ball on the ground
-1,179,152,1, it was outside of the field of play
7,96,153,2, therefore it is a foul ball
-1,536,154,1, the batter hit the ball straight back to the back stop for a foul ball
4,5,155,8, it was caught in the air by the center fielder
0,4,156,3, it went out of the strike zone
-1,453,157,1, the batter hit it over the wall and was in bounds
-1,499,158,1, the defensive team didn't make a play
0,4,159,1, it went outside of the strike zone
0,4,160,12, it was in the strike zone
-1,563,161,1, the defensive team didn't get an out
-1,511,162,1, which made an out
0,4,163,13, it was outside the strike zone
2,22,164,2, this makes it a ball
4,5,165,2, the batter swung and did not make contact with the ball
36,806,166,1, this makes it a strike
4,5,167,1, the batter did not swing making it a ball
32,42,168,1, the ball did not end up in the field of play
7,96,169,1, this makes it a foul ball
4,5,170,1, the batter made contact with the ball and sent it into left field
4,5,171,1, the batter made contact with the ball and sent it into the outfield
27,13,172,1, it did not go into the field of play
4,5,173,21, the batter did not swing at the ball
2,22,174,5, it is a ball
0,4,175,10, it was out of the strike zone
40,441,176,4, the catcher's glove
-1,32,177,2, the player didn't swing
-1,647,178,1, he watched the ball
-1,718,179,1, the player checked his swing
1,25,180,1, the ball wasn't in the strike zone
0,4,181,12, the ball was in the strike zone
0,4,182,1, it was way outside of the strike zone
4,5,183,7, the batter didn't swing at it
4,5,184,1, the batter hit it behind him out of bounds
4,5,185,2, the batter hit it out of bounds
4,5,186,8, it touched the ground
17,99,187,1, he swung at the ball and missed it
4,5,188,2, the third baseman caught it
4,5,189,3, and the batter swung and missed
-1,677,190,1, the batter popped it up to right field
-1,75,191,1, the batter fouled it over the right field line
-1,661,192,1, a fly ball to left
16,212,193,1, that was caught
4,5,194,1, the batter did not swing at a called ball
4,5,195,3, a base hit
49,84,196,2, who threw him out at first
-1,598,197,1, the batter did swing at a called strike
4,5,198,4, the batter fouled off the pitch
4,5,199,2, then the batter swung and hit the ball behind him and into the stands
-1,832,200,2, it went high
4,5,201,47, the batter didn't swing
-1,91,202,4, it went low
4,5,203,1, then the batter swung and hit it on the ground past the third basemen and into the outfield
4,5,204,5, it was caught by the center fielder
-1,424,205,1, who threw the batter out at first base
0,4,206,2, it went into the strike zone
7,96,207,2, which is a foul ball
4,5,208,4, the batter swung and missed for a strike
4,5,209,1, it was caught by the first baseman
37,193,210,1, the batter hit the ball on the ground back to the pitcher
2,22,211,8, it was a ball
4,5,212,11, the batter hit the ball into foul territory
4,5,213,1, ball landed outside the foul post
-1,834,214,1, it was a ground ball and thrown out at first
-1,474,215,1, the player caught it in the air
19,95,216,3, it was a home run
4,5,217,1, the batter hit out to the outfield
4,5,218,2, it was caught by an outfielder
12,120,219,2, the batter was out
0,4,220,7, it was outside of the strike zone
4,5,221,2, the batter did not swing his bat
-1,109,222,1, the batter was walked
4,5,223,1, the batter hit and put the ball into play
4,5,224,1, this was a base hit
4,5,225,1, the batter made it to first base
-1,449,226,1, the ball was thrown too low
10,82,227,7, it was below the strike zone
-1,599,228,1, it was determined to be a ball by the umpire
4,5,229,1, the batter put the ball into play
4,5,230,1, a ground ball hit to third base
-1,814,231,2, the batter made it to first
-1,692,232,1, the batter was called out
4,5,233,1, the batter swung and hit the ball to the outfield
4,5,234,1, the batter made it on base
-1,92,235,1, the ball went past the foul line
7,96,236,1, it was ruled a foul ball
68,41,237,1, a fielder's choice ball
-1,684,238,1, the runner going to second base instead of getting the batter out
32,42,239,1, the ball popped up but not into the field of play
-1,16,240,1, this was called a foul ball by the umpire
4,5,241,1, the hitter did not swing at the pitch
11,52,242,1, and the umpire called it a strike
-1,847,243,1, he tagged the bag
4,5,244,1, the ball was hit on the ground out to left field
71,105,245,1, the ball was hit in the air out to left field and was not caught
-1,238,246,1, then the ball was fouled off to the right side
-1,238,247,1, and the ball was fouled off to the right side
71,105,248,1, then the ball was hit out to left field and was not caught
-1,210,249,1, running was thrown out at first
71,105,250,1, the ball hit out to center field and was not caught
-1,714,251,1, the second baseman is going to catch a fly ball in the infield
4,5,252,1, the right fielder caught the ball in the outfield
-1,576,253,1, the third baseman caught a line drive
4,5,254,1, the batter hit the ball into the stands in right foul territory
-1,514,255,1, the pitch was below the bottom of the strike zone
-1,805,256,1, the batter bunted the ball and was thrown out at first
4,5,257,1, the batter hit the ball in left foul territory
4,5,258,1, the second baseman fielded a ground ball and threw out the batter at first
76,3,259,1, the pitch was low
4,5,260,2, the batter hit the ball with the bat
4,5,261,2, a fielder caught it
4,5,262,3, the hitter didn't swing
-1,728,263,1, the hitter hit it to the first baseman
4,5,264,2, the fielder caught it in the air
76,3,265,1, the pitch was low and outside
0,4,266,4, the ball was inside the strike zone
18,19,267,1, the umpire judged it to be in the strike zone and called it a strike
8,106,268,1, the hitter hit the ball outside the field of play
-1,92,269,1, the ball went outside the foul line
-1,657,270,1, it went between the batter and the strike zone
-1,458,271,1, the batter's feet
4,5,272,1, the batter hit the ball in the air to the left fielder
4,5,273,1, the hitter hit the ball in the air to right field
51,18,274,1, the ball went right over the plate
-1,451,275,1, the empire called it a strike
-1,445,276,1, then the batter hit the ball to the shortshop
4,5,277,1, then the batter swung at the ball and missed for a strike
-1,679,278,2, he did not run
4,5,279,1, the batter hit a high ball in the outfield
4,5,280,6, the outfielder caught the ball
4,5,281,1, the batter hit the ball to the third basemen
-1,787,282,1, the third basemen threw him out at first base
64,28,283,1, it went behind them
4,5,284,1, the batter hit the ball towards first base
4,5,285,3, the batter hit the ball foul
-1,553,286,3, he outfield
13,37,287,4, it was caught for an out
57,31,288,1, it was low for a ball
4,5,289,1, batter hit the ball past the shortstop for a hit
4,5,290,1, the batter hit ball on the ground
-1,526,291,1, the infielder could not make a play
4,5,292,1, the batter hit ball out of play
26,10,293,1, the pitch was not a strike
20,9,294,2, pitch was called a strike by umpire
4,5,295,2, the batter hit the ball on the ground but was thrown out
20,9,296,1, pitch was called a ball
4,5,297,1, the batter made contact with the pitch and chopped it foul at the plate
4,5,298,21, the batter did not swing at the pitch
35,51,299,1, the umpire ruled the pitch a strike for going through the strike zone
