final_id,group_id,start_id,freq,text
3,0,0,18, The bird has belly.
30,63,1,8, The bird has wings.
42,26,2,6, The bird has feet.
12,13,3,12, The bird has breast.
39,40,4,8, The bird has throat.
-1,299,5,4, The bird has white throat.
5,6,6,54, This bird is.
13,22,7,50, This bird has.
4,8,8,7, The bird has a beak.
34,9,9,16, This bird has a crown.
-1,199,10,5, This bird has a brown crown.
10,167,11,29, The bird is.
46,59,12,5, A bird with a cheek patch.
39,40,13,11, A bird with throat.
6,69,14,26, A bird with a bill.
-1,169,15,9, A bird with a pointed bill.
-1,115,16,6, A bird with a small bill.
-1,158,17,3, A bird with a small pointed bill.
38,207,18,36, That is.
3,0,19,10, The bird has a belly.
12,13,20,16, The bird has a breast.
-1,195,21,3, A bird with a underbelly.
-1,139,22,9, A small bird with a bill.
5,6,23,72, This is a bird.
-1,4,24,7, This is a grey bird.
-1,251,25,3, This is a bird with feet.
47,116,26,5, This is a beak.
11,258,27,3, This bird has body.
29,54,28,26, This bird has wings.
-1,208,29,3, This bird has cheek patch.
-1,57,30,6, This is a small bird.
58,188,31,8, That has.
15,50,32,6, A bird with wingbars.
3,0,33,49, This bird has a belly.
-1,12,34,25, This bird has a white belly.
-1,103,35,3, This bird has a belly with a crown.
4,8,36,29, This bird has a beak.
12,13,37,28, This bird has a breast.
3,0,38,3, This is a bird with belly.
-1,245,39,7, This is a bird with a bill.
4,8,40,3, A bird a beak.
-1,287,41,7, A bird with eyes.
-1,231,42,3, A black bird with eyes.
49,277,43,4, A bird with red eyes.
16,38,44,20, This bird has a bill.
-1,297,45,6, This small bird has a bill.
3,0,46,6, This small bird has a belly.
-1,12,47,4, This small bird has a white belly.
72,151,48,5, The belly is.
17,234,49,7, The bird has a body.
13,22,50,5, This little bird has.
34,9,51,11, This bird has with a crown.
34,9,52,3, This little bird has with a crown.
29,54,53,21, This is a bird with wings.
3,0,54,10, This is a bird with a belly.
-1,12,55,6, This is a bird with a white belly.
30,63,56,28, A bird with wings.
-1,3,57,12, A small bird with wings.
-1,217,58,4, A yellow bird with wings.
6,69,59,16, A bird with bill.
-1,139,60,6, A small bird with bill.
-1,57,61,7, The small bird is.
18,5,62,6, This is a bird with a head.
-1,3,63,4, This is a small bird with wings.
-1,28,64,3, This is a bird with black wings.
4,8,65,27, A bird with a beak.
-1,58,66,5, A bird with a pointed beak.
-1,55,67,4, A bird with a long beak.
17,234,68,4, A bird with a body.
32,264,69,14, This bird has feathers.
-1,55,70,10, This bird has a long beak.
-1,4,71,4, A bird with grey wings.
27,47,72,4, The bird has feathers.
4,8,73,21, The bird has beak.
6,69,74,6, A bird has a bill.
39,40,75,5, The bird has a throat.
-1,155,76,3, The bird has a long throat.
31,96,77,19, The bird has a eyering.
-1,18,78,14, The bird has a black eyering.
-1,39,79,10, A small bird with a beak.
-1,39,80,6, A bird with a small beak.
-1,39,81,4, A small bird with a small beak.
27,47,82,13, A bird with feathers.
-1,128,83,5, A small bird with feathers.
3,0,84,29, A bird with a belly.
-1,30,85,18, A bird with a white belly.
70,45,86,3, With a belly.
54,187,87,10, With wings.
-1,261,88,4, With black wings.
6,69,89,37, The bird has a bill.
-1,185,90,6, The bird has a long bill.
-1,28,91,9, This is a black bird.
5,6,92,6, This is a bird its.
-1,237,93,3, A small bird with wingbars.
20,56,94,16, A bird with a crown.
-1,110,95,6, A small bird with a crown.
27,47,96,5, Bird with feathers.
-1,128,97,3, Small bird with feathers.
3,0,98,17, A small bird with a belly.
-1,12,99,10, A small bird with a white belly.
22,29,100,9, A bird with head.
-1,114,101,5, A small bird with head.
-1,183,102,6, A small bird with throat.
19,165,103,11, The bird has.
23,238,104,10, The beak is.
8,159,105,261, That are.
15,50,106,3, The bird has wingbars.
-1,298,107,7, This is a yellow bird.
39,40,108,6, This is a bird with a throat.
4,8,109,27, This is a bird with a beak.
-1,46,110,11, This is a bird with a black beak.
39,40,111,4, This bird has throat.
34,9,112,8, This bird has crown.
-1,294,113,4, This is a yellow bird with wings.
31,96,114,5, The bird has eyering.
-1,132,115,15, The bird has a black bill.
30,63,116,4, Bird with wings.
-1,3,117,3, Small bird with wings.
4,8,118,4, Bird with beak.
-1,39,119,4, Small bird with beak.
67,21,120,14, This bird has a white breast.
-1,289,121,4, This bird has its.
-1,200,122,3, This is a red bird.
-1,284,123,3, This is a red bird with a beak.
-1,215,124,3, This is a red bird with wings.
-1,4,125,7, This is a bird with grey wings.
20,56,126,5, The bird has crown.
69,64,127,8, The bird has tarsus.
44,163,128,3, A bird with spots.
-1,115,129,14, The bird has a small bill.
-1,243,130,6, The bird has a small black bill.
-1,295,131,3, This bird has legs.
22,29,132,6, The bird has a head.
-1,189,133,3, The bird has a small eyering.
12,13,134,4, This is a bird with a breast.
67,21,135,5, This is a bird with a white breast.
-1,288,136,4, This is a grey bird with a beak.
-1,293,137,3, This is a grey bird with a black beak.
16,38,138,4, This bird has bill.
12,13,139,14, This bird has breast.
3,0,140,18, This bird has belly.
-1,246,141,9, This bird has feet.
17,234,142,4, The bird has body.
-1,244,143,3, The bird has a chest.
-1,18,144,3, The bird has black eyering.
20,56,145,11, The bird has a crown.
-1,142,146,5, The bird has a black crown.
-1,197,147,13, This is a white bird.
50,283,148,4, This is.
4,8,149,7, A bird with beak.
-1,39,150,4, A small bird with beak.
22,29,151,18, A bird with a head.
-1,114,152,9, A small bird with a head.
-1,273,153,3, A brown bird with a head.
-1,52,154,3, A small brown bird with a head.
-1,265,155,5, A bird with a small head.
-1,281,156,4, A small bird with a small head.
-1,211,157,6, A bird with a black head.
-1,209,158,3, This bird has a grey belly.
-1,35,159,8, The bird has a yellow breast.
6,69,160,7, The bird has bill.
18,5,161,15, This bird has a head.
68,32,162,3, A bird with black feathers.
-1,260,163,5, This is a bird with a crown.
-1,235,164,3, This is a bird with a black crown.
-1,143,165,3, This is a bird with an orange beak.
-1,285,166,3, This smaller bird has.
-1,219,167,3, This bird has with a gray crown.
12,13,168,16, This bird has breast with.
12,13,169,3, This smaller bird has breast with.
3,0,170,4, This smaller bird has a belly.
-1,193,171,3, A sized bird with bill.
12,13,172,15, A bird with breast.
67,21,173,4, A bird with white breast.
-1,181,174,5, A bird with primaries.
29,54,175,3, This is a bird with a wing.
4,8,176,3, This brown bird has a beak.
-1,282,177,10, This is a brown bird.
73,170,178,3, The wings are.
11,258,179,21, This bird has a body.
-1,93,180,4, This bird has a brown body.
-1,4,181,3, This bird has grey wings.
-1,230,182,4, A bird with a short bill.
-1,286,183,3, The bird has sharp beak.
-1,58,184,3, The bird has pointed beak.
-1,80,185,8, This bird has neck.
12,13,186,5, A small bird with breast.
20,56,187,6, A bird with crown.
-1,110,188,3, A small bird with crown.
42,26,189,7, A bird with feet.
-1,148,190,3, A small bird with feet.
-1,201,191,3, A bird with black feet.
-1,255,192,4, A bird with cheeks.
-1,252,193,4, A small bird with cheeks.
-1,275,194,3, A bird with brown wings.
75,198,195,7, This bird has primaries.
-1,122,196,8, It has.
4,8,197,3, The bird has beak its.
-1,39,198,4, The bird has small beak.
3,0,199,6, A sized bird with a belly.
-1,263,200,3, A sized bird with a white belly.
-1,160,201,3, A medium sized bird with a belly.
33,191,202,11, The bill is.
28,233,203,8, The body is.
12,13,204,8, A bird with a breast.
-1,202,205,4, This black bird has.
39,40,206,3, This bird has a throat.
-1,190,207,3, This white bird has.
-1,55,208,7, This is a bird with a long beak.
-1,205,209,4, This is a bird with a long black beak.
-1,196,210,4, This bird has a light belly.
3,0,211,16, A bird with belly.
18,5,212,10, This bird has head.
-1,241,213,4, This bird has a pointy beak.
-1,182,214,3, This bird has a long bill.
-1,98,215,5, This bird has a black bill.
3,0,216,3, This is a brown bird with a belly.
4,8,217,4, This is a brown bird with a beak.
-1,39,218,6, This is a bird with a small beak.
34,9,219,3, This small bird has a crown.
-1,10,220,9, This bird has a yellow belly.
-1,216,221,4, A sized bird with a head.
-1,171,222,4, This bird has secondaries.
-1,223,223,5, This bird has wingbars.
-1,212,224,3, This bird has gray primaries.
-1,125,225,5, This bird has with a black crown.
3,0,226,4, This little bird has a belly.
45,175,227,4, It's.
-1,174,228,5, This bird has a brown head.
-1,227,229,7, This bird is its.
13,22,230,6, This small bird has.
-1,80,231,3, This bird has with a neck.
-1,164,232,3, This bird has with a black neck.
34,9,233,7, This bird has with crown.
66,24,234,6, This bird has with nape.
12,13,235,5, This small bird has a breast.
67,21,236,4, This small bird has a white breast.
-1,166,237,4, This bird has a black head.
-1,3,238,7, This small bird has wings.
12,13,239,5, A small bird with a breast.
48,210,240,5, The head is.
-1,276,241,4, The head of the bird is.
3,0,242,3, This small bird has belly.
41,259,243,5, A bird with markings.
-1,28,244,3, This bird has black feathers.
-1,46,245,3, This bird has a black beak.
-1,39,246,6, This bird has a small beak.
-1,67,247,3, This bird has a small black beak.
3,0,248,5, A brown bird with a belly.
-1,141,249,3, This is a bird with a grey head.
-1,162,250,3, This is a yellow bird with grey wings.
-1,10,251,5, The bird has a yellow belly.
47,116,252,6, It has beak.
-1,28,253,4, This bird has black wings.
69,64,254,3, This bird has tarsus.
-1,256,255,3, This colorful bird has wings.
-1,134,256,4, This bird has brown wings.
4,8,257,7, Bird with a beak.
-1,46,258,3, This is a black bird with a beak.
-1,46,259,3, This is a black bird with a black beak.
66,24,260,5, This bird has nape.
47,116,261,4, It has beak its.
-1,117,262,4, It has small beak.
-1,117,263,4, It has small beak its.
-1,51,264,4, It has beak compared to body size.
-1,43,265,4, It has small beak compared to body size.
-1,51,266,4, It has beak compared to its body size.
-1,43,267,4, It has small beak compared to its body size.
3,0,268,6, A small bird with belly.
-1,30,269,5, A bird with white belly.
-1,12,270,3, A small bird with white belly.
-1,142,271,3, A bird with black crown.
-1,150,272,7, A bird with a tail.
40,168,273,6, A small bird with a tail.
-1,99,274,5, A bird with a long tail.
-1,221,275,4, A small bird with a long tail.
-1,271,276,8, This bird has a black body.
52,33,277,3, Which is.
-1,39,278,4, Small bird with a beak.
53,94,279,4, A bird with coverts.
55,194,280,3, White striped.
-1,35,281,6, This bird has a yellow breast.
-1,236,282,4, This bird has a flat beak.
-1,296,283,3, A bird with brown breast.
47,116,284,3, With a beak.
-1,90,285,3, A brown bird with a breast.
-1,153,286,3, A brown bird with a bill.
-1,220,287,3, A bird with brown head.
-1,52,288,3, A small bird with brown head.
31,96,289,3, A bird with eyering.
-1,154,290,6, A bird with secondaries.
-1,25,291,5, This is a white bird with a beak.
-1,76,292,6, This colorful bird has.
-1,132,293,8, A bird with a black bill.
46,59,294,3, A bird with cheek patch.
-1,161,295,3, This bird has a body with a bill.
-1,218,296,3, This bird has a body with a black bill.
3,0,297,3, A small sized bird with a belly.
77,186,298,3, That has feathers.
-1,25,299,3, This is a white bird with a black beak.
-1,247,300,3, This bird has a yellow bill.
-1,248,301,3, This white bird has a bill.
-1,107,302,3, This is a colored bird.
4,8,303,3, A brown bird with a beak.
-1,179,304,4, A small bird with a black head.
-1,46,305,4, A bird with a black beak.
-1,262,306,5, This bird has a white body.
23,238,307,4, Beak is.
-1,225,308,3, This bird has tail.
74,172,309,4, A bird with hues.
-1,274,310,3, A small bird with hues.
-1,253,311,3, A bird with black primaries.
-1,177,312,5, A bird with eyebrow.
-1,146,313,3, A bird with a short beak.
-1,67,314,3, A small bird with a black beak.
-1,55,315,3, The bird has long beak.
70,45,316,3, With belly.
68,32,317,3, A bird with black.
-1,173,318,3, A bird with back.
68,32,319,3, A bird with black markings.
-1,123,320,3, This is a large bird.
17,234,321,3, A bird with body.
-1,149,322,3, This bird has a short bill.
56,242,323,3, The bird has a wingspan.
-1,222,324,3, A bird with a red breast.
-1,35,325,3, A bird with yellow breast.
67,21,326,3, The bird has a white breast.
-1,206,327,3, A bird with white eyebrow.
68,32,328,4, A bird with black wings.
-1,249,329,3, A small bird with a black bill.
-1,134,330,3, This is a bird with brown wings.
-1,97,331,3, A sized bird with wings.
-1,267,332,3, A medium sized bird with wings.
3,0,333,4, This bird has a brown belly.
3,0,334,3, This bird has a light brown belly.
-1,109,335,4, This bird has with superciliary.
-1,224,336,4, This bird has a pointed bill.
76,213,337,3, The crown is.
-1,254,338,3, This small bird has a body.
-1,85,339,5, The body of the bird is.
-1,57,340,3, This small bird is.
71,229,341,3, This bird has eyes.
12,13,342,3, A bird has a breast.
-1,57,343,4, This little bird is.
43,178,344,4, This bird looks.
25,137,345,7, They are.
-1,270,346,3, This bird a beak.
-1,286,347,3, Bird with a sharp beak.
-1,203,348,3, A medium sized bird with a head.
-1,192,349,3, A bird with dark wings.
57,250,350,3, He has.
52,33,351,6, Which are.
-1,180,352,3, A bird with a face.
-1,157,353,3, With feet.
1,7,354,76, The petals are.
