final_id,group_id,start_id,freq,text
-1,899,0,1, the bird has black mane red feet and white throat breast belly and wings
-1,837,1,1, shark pointed beak
-1,687,2,1, tail is split into a v shape
-1,128,3,1, the short fat bird has a small straight beak a white underbelly and brown colors on the back and wings
-1,555,4,1, a black and grey spotted belly
-1,967,5,1, this bird has a brown feathered crown on its head and gray and yellow feathers
-1,991,6,1, the bird is blue with a long tail with grey tip
-1,691,7,1, that stands in contrast of its speckled white and black breast
-1,583,8,1, that is white all over but has an orange beak and orange gobble
-1,900,9,1, that is red and black
-1,17,10,1, that is white
-1,1001,11,1, this is a grey bird with yellow feet and a pointy yellow beak
-1,542,12,1, this bird has a gray crown white body black cheek patch and wings
-1,751,13,1, the retrices appear to be black on top and gray on the bottom
-1,551,14,1, this birds head is small compared to its body
-1,576,15,1, its body is brown
-1,543,16,1, its foot and bill are black
-1,775,17,1, that is tan yellow and has black spots or stripes and a black stripe on its head
-1,23,18,1, this bird has a orange head  a black and white body
-1,695,19,1, an orange faded crown
1,1,20,1, this bird has a white belly with a black crown on its head and orange feet
-1,1080,21,1, this bird has a large beak and a red breast
-1,966,22,1, this is a blue bird with creamcolored belly and a short blue bill
-1,629,23,1, a small orange billed bird
-1,817,24,1, this bird has a brown rusty body with black on the top and tail feathers a black head with red eyes and a black bill
1,1,25,1, this small yellow bird has a gray bill and a white belly
-1,706,26,1, the belly is yellow
-1,108,27,1, which curves downward
-1,1069,28,1, this bird is speckled black  brown and off white
-1,1023,29,1, they seem very thick
1,1,30,1, this little bird has a white belly and breast with a red crown and speckled back
28,12,31,1, this is a bird with a white belly and breast and blue wings
-1,669,32,1, this tiny bird is colorful with a long pointed bill humming wings and shirt feet
-1,989,33,1, the bird has curved feet and a small black bill
1,1,34,1, the bird is yellow with a small brown beak
-1,790,35,1, this whitish bird has bright yellow rectrices and red and black around its eyes
1,1,36,1, this bright little yellow bird has wings of black and yellow yellow and black coverts and dark red streaked sides
-1,575,37,1, a swimming bird with orange eyes and a white and grey body the top of the body is black
-1,14,38,1, the small bird is grey with a white belly and a black eyebrow
1,1,39,1, this is a small fat bird with a yellow head white belly and blackwhite wings
-1,1002,40,1, the bird has a white and yellow belly and a flat pointed beak
-1,831,41,3, cream colored
-1,596,42,1, this bird has black and metallic blue feathers and a long beak
-1,1025,43,1, the bird has red and brown feathers and flat beak
1,1,44,1, this bird has a white belly with brown spots and small beak
-1,1027,45,1, that enjoys water
-1,893,46,1, the bird has a long white throat as well as a black eyering
-1,627,47,1, the feathers of this bird are ruffled and light green contoured by deep brown wings
-1,818,48,1, this brown slim bird has a long tail and long beak with high nape
-1,762,49,1, this pretty bird is round and fat with a white belly red throat black head and black wings with random white spots
-1,1045,50,1, this camouflaged bird is brown and white flecked with a black eye
-1,747,51,1, this small grey bird has a vivid black lining its neck
30,60,52,5, that is black
-1,701,53,1, this is a metallic black bird with a black crest on its head and an orange patche around its eyes
1,1,54,1, the bird has bright yellow feathers and a bluewhite tail and also has black markings around its eye
