image_idx,label
0,5
1,4
2,1
3,9
4,2
5,1
6,3
7,1
8,4
9,3
10,5
11,3
12,6
13,1
14,7
15,2
16,8
17,6
18,9
19,4
20,9
21,1
22,1
23,2
24,4
25,3
26,2
27,7
28,3
29,8
30,6
31,9
32,5
33,6
34,7
35,6
36,1
37,8
38,7
39,9
40,3
41,9
42,8
43,5
44,9
45,3
46,3
47,7
48,4
49,9
50,8
51,9
52,4
53,1
54,4
55,4
56,6
57,4
58,5
59,6
60,1
61,1
62,7
63,1
64,6
65,3
66,2
67,1
68,1
69,7
70,9
71,2
72,6
73,7
74,8
75,3
76,9
77,4
78,6
79,7
80,4
81,6
82,8
83,7
84,8
85,3
86,1
87,5
88,7
89,1
90,7
91,1
92,1
93,6
94,3
95,2
96,9
97,3
98,1
99,1
100,4
101,9
102,2
103,2
104,2
105,7
106,1
107,8
108,6
109,4
110,1
111,6
112,3
113,4
114,5
115,9
116,1
117,3
118,3
119,8
120,5
121,4
122,7
123,7
124,4
125,2
126,8
127,5
128,8
129,6
130,7
131,3
132,4
133,6
134,1
135,9
136,9
137,6
138,3
139,7
140,2
141,8
142,2
143,9
144,4
145,4
146,6
147,4
148,9
149,7
150,9
151,2
152,9
153,5
154,1
155,5
156,9
157,1
158,2
159,3
160,2
161,3
162,5
163,9
164,1
165,7
166,6
167,2
168,8
169,2
170,2
171,5
172,7
173,4
174,9
175,7
176,8
177,3
178,2
179,1
180,1
181,8
182,3
183,6
184,1
185,3
186,1
187,1
188,7
189,2
190,7
191,3
192,4
193,6
194,5
195,2
196,6
197,4
198,7
199,1
200,8
201,9
202,9
203,3
204,7
205,1
206,2
207,3
208,5
209,4
210,6
211,5
212,8
213,6
214,3
215,7
216,5
217,8
218,9
219,1
220,3
221,1
222,2
223,2
224,3
225,3
226,6
227,4
228,7
229,5
230,6
231,2
232,7
233,9
234,8
235,5
236,9
237,2
238,1
239,1
240,4
241,4
242,5
243,6
244,4
245,1
246,2
247,5
248,3
249,9
250,3
251,9
252,5
253,9
254,6
255,5
256,7
257,4
258,1
259,3
260,4
261,4
262,8
263,4
264,3
265,6
266,8
267,7
268,6
269,9
270,7
271,5
272,7
273,2
274,1
275,1
276,6
277,8
278,9
279,4
280,1
281,5
282,2
283,2
284,9
285,3
286,9
287,6
288,7
289,2
290,3
291,5
292,4
293,3
294,6
295,5
296,8
297,9
298,5
299,4
300,7
301,4
302,2
303,7
304,3
305,4
306,8
307,9
308,1
309,9
310,2
311,8
312,7
313,9
314,1
315,8
316,7
317,4
318,1
319,3
320,1
321,1
322,2
323,3
324,9
325,4
326,9
327,2
328,1
329,6
330,8
331,4
332,7
333,7
334,4
335,4
336,9
337,2
338,5
339,7
340,2
341,4
342,4
343,2
344,1
345,9
346,7
347,2
348,8
349,7
350,6
351,9
352,2
353,2
354,3
355,8
356,1
357,6
358,5
359,1
360,1
361,2
362,6
363,4
364,5
365,8
366,3
367,1
368,5
369,1
370,9
371,2
372,7
373,4
374,4
375,4
376,8
377,1
378,5
379,8
380,9
381,5
382,6
383,7
384,9
385,9
386,3
387,7
388,9
389,6
390,6
391,2
392,3
393,9
394,7
395,5
396,4
397,8
398,9
399,4
400,1
401,2
402,8
403,7
404,1
405,2
406,6
407,1
408,3
409,1
410,1
411,8
412,2
413,3
414,9
415,4
416,5
417,6
418,1
419,7
420,7
421,8
422,1
423,9
424,2
425,5
426,1
427,2
428,2
429,7
430,3
431,5
432,4
433,9
434,7
435,1
436,8
437,3
438,9
439,6
440,3
441,1
442,1
443,2
444,6
445,3
446,5
447,7
448,6
449,8
450,3
451,9
452,5
453,8
454,5
455,7
456,6
457,1
458,1
459,3
460,1
461,7
462,5
463,5
464,5
465,2
466,5
467,8
468,7
469,9
470,7
471,7
472,5
473,9
474,8
475,9
476,2
477,4
478,8
479,1
480,6
481,1
482,6
483,5
484,1
485,8
486,3
487,4
488,5
489,5
490,8
491,3
492,6
493,2
494,3
495,9
496,2
497,1
498,1
499,5
500,2
501,1
502,3
503,2
504,8
505,7
506,3
507,7
508,2
509,4
510,6
511,9
512,7
513,2
514,4
515,2
516,8
517,1
518,1
519,3
520,8
521,4
522,6
523,5
524,9
525,3
526,9
527,2
528,4
529,7
530,1
531,2
532,9
533,4
534,2
535,6
536,1
537,8
538,9
539,6
540,6
541,7
542,9
543,9
544,8
545,1
546,4
547,4
548,6
549,7
550,1
551,5
552,7
553,3
554,5
555,8
556,4
557,7
558,1
559,2
560,5
561,9
562,5
563,6
564,7
565,5
566,9
567,8
568,8
569,3
570,6
571,9
572,7
573,7
574,5
575,7
576,1
577,1
578,7
579,9
580,2
581,3
582,7
583,3
584,2
585,4
586,1
587,6
588,2
589,7
590,5
591,5
592,7
593,4
594,2
595,6
596,3
597,6
598,4
599,4
600,2
601,6
602,3
603,1
604,6
605,2
606,2
607,3
