elapsed,469539,1617233811290,advanced
80NS57B50CH9,foul,then the batter hit the ball behind him, into the stands.
2IZFYOFVSVX1,play,then the batter hit the ball on the ground to the second baseman.
PW04S6K288ED,strike,then the batter didn't swing, and the umpire motioned that the pitch was a strike.
6BKA5DNLY42G,play,then the batter hit the ball into left field, but the left fielder didn't catch it. The batter safely reached first base.
71RYZ8WTY4PP,ball,it was outside of the strike zone and the batter didn't swing at it.
CR7PV6VZK706,out,then the batter swung and hit a fly ball into center field, which was caught by the center fielder.
EFHIXC69LX2K,none,the pitcher didn't throw the ball in this clip.
9JYXCX7HXIRJ,foul,then the batter swung and hit the ball on the ground and out of play toward the third base side.
8N4VO7H8TBVR,foul,then the batter swung and hit the ball in the air behind him, out of play.
2JV9UTUIC2S5,strike,then the batter didn't swing, but the ball was in the strike zone and the umpire motioned that it was a strike.
