elapsed,173859,1619125070081,intermediate
MCOMR48Q9M79,ball,pitch outside the strike zone
2FXPU50WB6SW,none,there is no video/will not play
J6MOGZ549AYF,foul,ball landed outside the foul post
2JQS5XYGX3QA,ball,pitch outside strike zone
HGDZSOCLWJOB,strike,pitch in the strike zone / ump ruling
FW8XUW52ZS6P,ball,pitch outside strike zone
2BIG0VSG7D8Y,play,it was a ground ball and thrown out at first
2VVMU86Y6HYM,out,the player caught it in the air
30P8TPWVYULM,play,it was a home run
NKUDMJ8TC790,ball,pitch outside strike zone
