elapsed,337573,1617234929753,intermediate
1AK32UTRLHR5,out,the ball was hit to centerfield and the centerfielder caught it.
Q7D3G1TNP1WV,play,the batter hit a ground ball to the shortstop.
9TB23CNFGA6K,strike,the batter swung and missed.
4KPZOPGOGHWX,ball,the ball was below the strike zone.
UTLWAMDDB08M,play,the batter hit a ground ball to first baseman.
GESEJKSGH30C,strike,the batter swung and missed.
MTE0GOFV6RTM,ball,the ball was below the strike zone.
S64VA8R1CV1G,play,the batter hit a ground ball to the third baseman.
KJE861T82UUL,ball,the ball was below the strike zone.
3B8S0ZA3FBKD,out,the batter hit the ball to right field and the right fielder caught it.
