elapsed,256579,1617239328424,advanced
D8VA6QS2HFXA,strike,the batter swung and missed.
YVV6U4AI4AFF,out,the batter hit the ball in the air and it was caught.
SWEJLDTW8LYI,play,the batter hit the ball on the infield.  The defensive player did not throw the ball to first base before the batter reached base.
CQDWD0MG5FPY,ball,the batter took a pitch that was out of the strike zone.
CMKLZASKSDET,play,the batter hit the ball to the outfield and it was not caught in the air.
04QEVZYMZ7E4,none,video did not work.
QC97YAGBQO8U,ball,the batter did not swing at a pitch out of the strike zone.
ZRAGJJCMJE2S,foul,the batter hit the ball out of the field of play.
7W7F5T65Z2IZ,play,the batter hit the ball on the infield and did not reach base safely.
ZLP8NFBVSNHS,strike,the batter did not swing at a ball in the strike zone.
