elapsed,380051,1619207759637,advanced
3HKW2B9Y28ZI,ball,the ball went low and left missing the strike zone.
A27RK8LIKGJA,ball,then the ball went high and right.
CMYIT3VLR5VB,out,The batter popped the ball to shallow left field where it was caught by the left fielder.
V7GGJ2PA6I3R,foul,The batter fouled with a pop fly behind the plate.
HNA173CXHA27,strike,it went into the lower left part of the strike zone.
EAD488CS8E60,strike,it went to the middle right of the strike zone.
65FI1EK1FB1Q,ball,it went high and right, well out of the strike zone.
JDE8KQZHIQ9C,play,the batter hit a grounder to left field and advanced to first base.
6QU7COLVSZWF,ball,it went mid-left out of the strike zone allowing the batter a walk which forced a run.
S8CR0QVS6058,strike,it went straight down the strike zone, the batter got caught watching.
