elapsed,511946,1619134023148,advanced
ABSV13O9WWJW,none,The video is not loading at all. Been trying for a few minutes.
R0V1A4VAIX3M,play,The batter hit the ball into right field and got on base 
UPJVCF0G3UVJ,play,Dude smacked the ball off the green monster for a hit.
4L9NZQFB41R0,ball,The pitch was a foot off the plate for a ball
ENACVVSDKQUC,out,Pop up that was caught in air 
USMIPNZHLO9T,play,Dude smoked it down the line for a hit 
QR7RLIZNOVZV,play,Judge crushes the pitch for a home run
WTYILQNJ5YER,play,Batter hits it past shortstop for a hit.
6BXTSJM98HEI,play,The batter smoked a home run over the left field fence
WNU3QYLZZLPM,none,Once again video wouldn�t load. Spent a few minutes trying to get it to load. Videos 1 and 10 don�t work. 2 through 9 worked great though.
