elapsed,860748,1619126563451,advanced
69QSIS5FBO9U,foul, a batted ball settled on foul territory
7VCV3OATAT1U,foul,a batted ball fell over foul territory
WU0B52P7DPKA,foul, a batted ball settled on foul territory
RSLXOCB30D3Z,foul,a batted ball fell over foul territory
I54PU2O2H2LH,play,a batted ball bounced on and caught in fair territory
JQBVIWP71DNF,foul,a batted ball fell over foul territory
XJ563WPYXKPE,ball,a pitch was outside the strike zone and the hitter didn't swing
IL1JJV7CRYU8,out,a batted ball caught by a left fielder
TYH159WDB5XU,play,this is a homerun
4J6JQ5RMRWGG,play,a batted ball bounced on and caught in fair territory
