elapsed,961812,1619127693198,intermediate
TI6QBRADWHQI,play,Then it was hit by the hitter who made it to first base but caused a focreout at second base.
UHME4WRIDYTU,foul,Then the hitter it the ball that was just left of the foul pole in left field.
KL42MG2PTWF5,ball,The ball was high which resulted in ball 4 and a walk.
OFNGASXR0TLL,strike,Then the batter swung hard, missing the ball.
ZX0QNPTZO56M,out,The hitter hit a high fly ball into right field which was caught.
BODXHQUG0YGV,strike,Then the ball went over the strike zone at the plate even though the batter did not swing.
K3NELOV2X41B,out,The batter hit a pop-up near the on-deck circle which was caught by the catcher.
E5F1WUMRQZMY,strike,Then the hitter swung hard, missing the ball.
K1VN9P1M4P44,play,The hitter hit the ball to right center field.
RGJQBHE7IQGU,foul,Then the hitter hit the ball foul.
