elapsed,537648,1619130941187,intermediate
P2T2ECZWUJ3J,out,the batter hit the ball to right field and the right fielder caught the ball.
6XCJ3LGB4K4K,ball,it was out of the strike zone.
K2BLF0R5OMI1,play,the batter hit the ball down inside the left foul line.
QYTUFMZW5FTS,ball,it was above the strike zone.
SN3FYJBQX20O,ball,it was below the strike zone.
6K10QFCN7WFH,ball,it was outside the strike zone.
08L4R9N3I4KA,out,the batter hit the ball into centerfield and center fielder caught the ball.
ALFP39N18CWN,play,the batter hit the ball for a single.
3XORMS58II89,foul,the batter hit the ball into foul territory.
DDKGDZB4MOJI,play,the batter hit a ground ball to the third baseman.
