elapsed,504796,1619135032791,intermediate
K2LU804A669H,out,Then the batter hit a long fly to center field that was caught in the air for a out. 

8PMC8YIGQGVL,ball,The ball was out of the strike zone. Which the batter didn�t swing at. 
B2VCWKM0HRUL,strike,then the batter swung and missed. 
SFWHJC7ZHWZD,strike,Than the ball crossed the strike zone and was called a strike by the umpire. 
NT200RL0KBO4,out,Batter hit a shallow fly ball just behind second base. Which was caught for the out. 

KAGMAETBH6L8,none,No video 
2ZXNE44XFWO5,strike,The ball crossed the strike zone. Which was called a strike by the umpire. 
Y8989D7C3KD7,strike,The batter swung and missed. 
U95J997UQMWZ,out,Batter hit a line drive that was caught for the out. 
KULMIHHM5PO4,strike,Batter swung and missed the ball. 
