elapsed,298711,1619208600822,advanced
KW8DZT2JZ3GN,play,then the batter hit a home run
MNSVGHBCB0HE,strike,the hitter did not swing at a strike
NDXG0INF3JHF,strike,the batter did not swing when it was thrown over the plate
PZ7KLZM5IYW2,ball,the batter did not swing because it was out of the strikezone
62R5BWTXYOCO,play,the batter grounded out to second
VGBBKX53LZ1K,play,the second baseman fielded the ball and threw the runner out at first
4H21K4YA3485,strike,the batter fouled off the pitch
79P0W0HC227M,strike,the batter was unable to check his swing and called out on strikes
XT1J3Z6UXXQ6,ball,it was not over the plate and the batter did not swing
FURIDBMA6KPC,play,the batter singled to left field
