elapsed,570071,1619208778462,intermediate
CIEGGZNO2TE5,foul,The hitter fouled the ball behind him.
8FNABRATASAT,out,The hitter popped the ball up behind home plate which was caught.
2F42EM26K53U,strike,The batter swung hard and missed the ball.
1WH4V8MUWJIY,play,The batter got a base hit.
RW1ZR0GYD66U,ball,The ball was low and to the right of the plate.
AENQQPRCKH8Y,none,The baserunner returns to the base after attempting to steal a base.
CLUEYY3AXF2Q,play,Hit because the batter got a base hit to left field.
WYY4RV90KZ7B,foul,Then the batter hit the ball, fouling it.
M0N18VI9GPHT,foul,The batter popped the ball up in the infield in foul territory.
PADNAWDAWADZ,strike,And the batter did not swing but the thrown ball was thrown over the plate.
