elapsed,402758,1620065989159,advanced
GIXJKCVP6RNJ,strike,The pitcher threw the play and the batter swung and missed.
ZYYNC4REDFQZ,strike,The pitcher threw the ball and the batter swung and missed.
XYNQBH81JVOB,ball,The pitcher threw the ball and it was called a ball by the umpire. It is not a strike. High in the zone.
2DFFS2LPCJG2,ball,Picture threw the ball in on the hitter and it was called a ball. This is not a strike.
CDDHUJTCVSEQ,strike,Pitcher threw the ball and was called a strike on the outer half of the plate.
NADSHEDC8WIL,play,The pitcher threw the ball and the hitter hit a ground ball between shortstop and third. He hit safely.
IHDRYX46RG7P,play,Pitcher threw the ball and a ground ball was hit up the middle. It was fielded and thrown to first for an out.
YI4BT8T3MS1M,ball,The pitcher threw the ball and it was high out of the zone for a called ball.
CBUZX63KEWH3,play,Pitcher threw the ball and it was a grounder to the third baseman.
EVDZAP3181HL,strike,The pitcher threw the ball and the hitter swung and missed for a strike.
