elapsed,361145,1619289518748,intermediate
C5F1W88XRQB8,foul,then the batter hit the ball out side the field of play.
BYNMYJCQZKC6,play,Then the batter hit the ball into the field of play.
MVXKFZEIPOXG,foul,then the batter hit the ball into foul territory. 
V26SYHNWN1G6,ball,then the batter did not swing and th pitch was high outside the strike zone. 
REV9VGFSIVV2,out,then the batter hit the ball into play, but it was caught by the fielder. 
1BQXV5U4P5H5,play,then the batter hit the ball outside of the park fair for a home run. 
GWIO099ZKN3H,play,then the batter hit the ball into the field of play. 
S6NZZO2YAQON,play,then the batter hit the ball into the field of play. 
4PB9YDUL07EB,strike,then the batter swung on the pitch, but missed.
XZCQXSJMYFN3,out,the batter hit the ball into center field, but it was caught by the fielder. 
