elapsed,401247,1619291010523,advanced
R5KF9IVDKLKV,ball,it crossed the plate outside the strike zone. 
BSLHD1WRWA5F,strike,the batter swung but missed resulting in the 3rd strike and a strike out. 
NWWHHH3OC2JX,strike,the ball crossed the plate in the lower part of the strike zone, resulting in a strike. 
UVBF4CF9W1YR,play,the batter hit the ball off of the left-center field wall, resulting in likely at least a double. 
NV8T1JL2J2JQ,strike,the ball crossed the plate on the inner part of the plate, resulting in a strike. 
8HQW9QPCGJDE,ball,the ball crossed the plate outside of the strike zone, resulting in a ball. 
35XVUWJFT4UM,play,the batter hit the ball on a slow groundball dribble to third base, who fielded the ball and threw the runner out at first. 
T9KTTU70S9DD,foul,the batter fouled the ball off on the left side. 
U6ZAI7LZ1MWA,out,the batter hit the ball in the air and was caught by the center fielder. 
6NRTQD6F3QWT,strike,the ball crossed the plate on the outside edge of the strike zone, resulting in a called strike. 
