elapsed,372176,1619293625026,intermediate
S8CX8NEJHQ21,play,the batter hit a groundball to the first baseman.
CMAD3QHXBG8B,ball,the batter took a pitch for a called ball.
TE19HP2FNYVN,play,the batter hit a base hit off the left field wall.
4BDP9VS5DTIC,none,the video did not load
X6V1C5AV95PG,foul,the hit a foul ball behind the plate.
3PIZ7UG43NBI,foul,the batter hit a foul ball down right field side of the stadium.
AHHRDNKVVO7V,foul,the batter hit a foul ball directly behind home plate.
IMPO625LDV28,out,the batter hit an infield pop up caught by the first baseman. 
QKTBX3AXQE74,ball,the batter took an inside pitch for a called ball.
PPUTMYRM2JX4,ball,the batter took an inside pitch for a called ball.
