elapsed,896682,1619294641178,intermediate
PQ724CTR0046,strike,then the batter swung hard and missed.
X84J7LNNHTS0,strike,then the batter swung but missed.
IV9F7HY2PSNR,foul,then the batter hit the ball into the outfield but ended up being a foul ball.
BJ89GQP9PCAG,play,then the batter hit a home run.
8MY1019A0LUC,strike,the batter held up his swing while the ball was a strike over the plate.
V65Y781SUBTU,play,then the batter hit the ball into left field for for what looks like a double.
R4KFLG3E92UF,ball,the ball went to the outside of the plate resulting in a ball.
BNG6CZW6ZMVR,ball,then the batter took a ball.
YWFU3RTUKFGF,ball,then the ball was low and the batter took a ball.
JWA8692PEGLV,strike,the ball was over the plate as a strike with the batter taking the strike.
