elapsed,302125,1619675609149,intermediate
JMM3JT91PSGM,play,batter hit it to the left outfield where it hit the ground and was not caught.
TKD1Z3FK4XS0,out,the batter hit the ball out into the center midfield where it was caught by the outfielder
GV99M1HUAM6A,ball,it was below the strike box
HQCPRB2AYCFZ,ball,it was far outside the strike box
V593DT9SX7EH,ball,it was so far below the strike box that it touched the ground
YDUWEHOB352H,play,the batter hit a ground ball directly to a shortstop
UNGPDVSCUXRI,strike,the batter did not swing and the ball was right in the center of the strike box
KO66ZA7YNZCB,play,the batter hit the ball and it hit the ground before being fielded
HP890ZSQMOV4,foul,the batter managed to make contact with the ball but it went into foul territory
D0HOZ7VNC7DB,out,the batter hit the ball to center outfield where it was caught
