elapsed,294922,1620065620811,advanced
KUP0J23OA793,play,the ball was hit into play and landed on the ground.
NZ6BZ3GC3KIJ,out,the ball was cought before it hit the ground.
LAQ32UA0OKPU,strike,ball was thrown in the strike zone.
NNS10B3O08MJ,foul,ball was hit out of play.
AAT8EDN0SMWX,ball,ball thrown ouside of strike zone.
2MR7MQLCW9L1,foul,ball hit out of play.
VYA79EKKAEZ2,ball,ball thrown out of the strike zone.
UFU3WKBVWM5Y,out,ball cought before it hit the ground.
W2X4KBILJKRR,play,ball hit and fielded in play.
EUNLN0COYN7U,foul,ball hit outside of play.
