elapsed,331791,1617053997802,advanced
6Q6UOBN3ALVR,none,the batter got a line drive single.
CKUY4G6MBTI7,foul,The batter did not hit the ball in fair play.
QZGLGGW2YIA5,strike,The batter swung and missed.
LXE7K7BK2OSK,ball,it was low and away.
MEWBB2PTMET8,strike,The batter faked a bunt and was called a strike
ABVYJXHE1IZC,none,video did not display or load
88GGL42SNJYO,foul,the batter fouled it off of their foot
I5U96GYGB7E0,out,the batter popped up to second. 
RJZ2VL5DLCNM,out,the batter flied out to center
81P3ZO2WPX1F,strike,the batter swung and missed
