elapsed,280168,1616792596738,advanced
HOJFB64DXI0P,strike,ball in strike zone and batter did not swing.
9E3HF1R5PVKJ,strike,batter swung and missed.
KGM6IBCUZ4Y7,out,batter popped out to third baseman.
IV4OGXV72MGI,foul,batter hit ball that did not land on field of play.
HQVG7CH65D5L,foul,batter tipped ball and catcher failed to hold on to 3rd strike.
5DMRHHDW70AC,ball,ball did not cross through strike zone and batter didn't swing.
WKADLWVD2S6O,ball,batter did not swing at ball not in strike zone.
6VG82CEGIOET,foul,batter hit ball that did not stay in field of play
RVWZDG7QW20W,strike,batter did not swing at pitch in strike zone.
KFKA5HCAM3AS,strike,batter did not swing at pitch in strike zone.
