elapsed,325458,1620067755067,advanced
I74F4ZOAOV18,play,The ball was hit by the batter toward third/short with no play for the out.
OZFD5R6DKRS1,strike,The pitcher threw the ball and the batter swung but didn't hit the ball.
6ILVEP6CI7R4,foul,The batter hit the ball but went behind him foul.
PJVU8G4N4HQD,out,The batter hit the ball and the center fielder caught it at the warning track for an out.
TI8030INF5P2,strike,the batter swung and missed for a strike.
851F5MZ8OOIM,play,the batter hit the ball in the right/center gap for a hit.
Z890VQ8MHEDX,ball,the ball went down out of the strike zone for a ball.
V65RJ1UXYPKM,strike,the batter swung and missed the ball.
E95BUIF1OU3N,ball,the ball went to the right of the strike zone.
A78ZTKIB7S9A,ball,the ball went down and to the left of the strike zone.
