elapsed,407241,1617056943404,advanced
UIWOZ6OV8RSI,out,The batter hit the ball into the air in play where a defender caught the ball in mid air.
VEO9YJ0O920A,foul,The batter hit the ball foul and out of play.
KEYMDDYMA269,play,The batter hit the ball into the ground in play.
PIL2A77G5NLN,out,The batter hit the ball in play in the air where it was caught mid air by a defender.
D3FXRLVHD8TP,out,The batter hit the ball into play in the air, and it was caught mid air.
LRE1ROHAXLXH,play,The batter hit the ball on the ground in play.
9LCCIIXTWXJJ,play,The batter hit the ball into play where it hit the ground.
MCHUG4Z9ZXU7,foul,The batter hit the ball foul and into the ground.
9B1WTJ05AUBS,none,The video did not play.
6C1KX44GHWI8,ball,The ball crossed the plate outside the strike zone and the batter did not swing.
