elapsed,271046,1617131824098,intermediate
8KRU4A51XQKC,ball,It was slightly outside of the strike zone.
W8Z64IJMGA79,play,The batter reached first base safely.
IQWFEGEVDVSJ,play,The batter was thrown out at first base on a ground ball to the shortstop.
KGEIVDCS4A54,none,Broken video 
AKPG7DQ9N7VD,ball,It landed outside of the strike zone.
R5AFJONAUBJH,ball,It was outside of the strike zone.
HGPSV048TF3S,play,None of the above. It was a long hit to mid center field.
HWYVY8B2YWAO,play,Single on a ground ball
PDMJVQG7JSSF,none,Broken video 
NLEMIS4PSYA0,none,Broken video 
