elapsed,341303,1616878525578,intermediate
GB68S0QDI5G3,foul,then the batter makes contact not in pla
XH94UCRVMQCH,out,the batter contacted for the outfielder t catch.
OYV7QWXOHHTY,foul,it was hit backwards
F2KP499T7980,out,then it was hit right to the shortstop
WR29MTKP4JB9,play,then the batter hit it above the fielders head
LTL8E9MNW4E0,none,then it was a groundout but none of those are listed.
WTYMRHFX21B9,foul,then it is hit into the fans.
OPQPROJZWO6Y,strike,then the batter swings and misses.
SMWZXNEQE62O,foul,then the ball is hit backwards.
60BS0Y92OAXP,none,then it is another groundout that is not listed.
