elapsed,349468,1617132539039,intermediate
9V3YP9CAJSND,ball,it went out of the strike zone without the batter swinging.
4MZBBQU6PI8W,play,batter hit it in play.
DIQLGHBUTNJN,strike,and batter swung and missed.
HS7KOG36P41A,strike,and the batter swung and missed.
RQZ65HWLCPBN,strike,it was in the strike zone for a called strike.
WFUWXSS14IQW,ball,the pitch was outside the strike zone.
YWZOEPA9J3LE,out,was hit to right field and caught by the right fielder.
QB3D2I6M6C51,strike,it was in the strike zone for a called strike.
FWA4SCJ96MO2,play,the batter hit it to the second baseman who threw it to first baseman throwing out the batter.
N5NZ71RMT321,foul,the batter fouled it off his foot.
