elapsed,373614,1616880339644,intermediate
Y34AO4FY2RJ3,play,reached 1st base safely.
E270UDHKRGPM,strike,the batter swung and missed.
822KYJ3WQ03X,strike,the hitter swung and missed.
QY4129URHNXH,out,the center fielder caught the ball before it touched the ground.
1WUTLRNHHZCW,play,the hitter hit the ball and reached second base without being thrown out.
KOXSB3G2EMLF,out,the hitter hit the ball, but the right fielder caught the ball in the air before it hit the ground.
AM61683YZJVK,ball,the ball was outside the strike zone, and the the hitter did not swing.
F8V8AQ4WVEO1,none,*the pitcher did not throw the ball...
EKN0XIBKYEO7,ball,the ball was outside the strike zone, and the hitter did not swing.
UPNYAR16HGGM,play,the hitter hit the ball (but was thrown out at first so not really a hit. Not sure what to put for this answer.)
