elapsed,344310,1620065681624,intermediate
JY2QOZNTHXGE,strike,the batter took a pitch in the strike zone for a called strike.
7J2IZM5HK6ZU,foul,the batter fouled off a pitch.
NTDQ0AD0EP8S,none,the video did not load
4FLD6CMF5KES,foul,the batter fouled the pitch down left field line.
FI2T775DSJP9,out,the batter hit a fly ball to deep left field which was caught by the left fielder.
NEVLYTOJ6671,foul,the batter fouled the pitch back behind home plate.
AKQ87KLRM9W8,strike,the batter swung at a pitch and missed striking out.
TOAR1VQPQR5K,play,the batter hit a single to center field.
8KF4YBV1102G,play,the batter hit the pitch for a single scoring a run.
QEESYCSX3YZB,foul,the batter fouled a pitch back behind home plate.
