elapsed,433876,1619132403448,intermediate
3M8QSC7O9PQG,foul,the batter hit the ball foul
HMKKVMPBXOAO,out,the batter hit the ball to he outfield where it was caught for an out
8CABQQZZBLRG,none,video doesn't play
SEQ47UOB4GE6,ball,it was low for a ball
ZK7VMI5LCVPT,out,the batter hit the ball to he outfield where it was caught for an out
JOAZL2ZKSARY,out,the batter hit the ball to he outfield where it was caught for an out
YKR4CL7983TX,strike,it was a strike and the batter didn't swing
N3T1N97CZX87,play,batter hit the ball past the shortstop for a hit
FGL3L3OZSQJ4,foul,the batter hit the ball foul
56Y4YI95W6SQ,strike,it was a strike and the batter didn't swing
