elapsed,526078,1619132424938,advanced
SP7Y6KCFF2TD,out,the hitter popped up to the right fielder who caught the ball in the air.
LMH26GKJFGQW,play,the hitter hit a ground ball to the shortstop before being thrown out at first base.
HST5K3C5L9WS,ball,it was caught outside of the strike zone for a called ball.
ZJ5T4M8F9USB,ball,it was thrown high and away, resulting in a called ball.
257MNU1H3O56,foul,the hitter swung and fouled the ball off to the third base side.
WKIAO1SNZ7O9,ball,it was thrown down and away outside of the strike zone, resulting in a ball. The hitter also checked his swing and the first base umpire ruled it was not a strike.
GAXSXT1YWAAR,ball,threw it way inside off the plate, resulting in a called ball.
DZQN8PNYV6D5,ball,threw it down and away outside the strike zone, resulting in a called ball.
BEKO4TDEE2SO,play,the hitter hit a ground ball back to the pitcher, who fielded the ball and threw the runner out at first base.
VOBBC4D9HK6X,foul,the batter fouled the pitch off to behind home plate, resulting in a foul ball.
