elapsed,508712,1619124631278,novice
U160R4BEB5MX,foul,The batter hit it and the ball went behind home plate.
3M0RKL47DAFZ,ball,The hitter did not try to hit a ball that was out of the strike zone.
YDZJJ8P0ABUQ,ball,The hitter did not try to hit a ball that was out of the strike zone.  In fact the ball was on the ground as it approached the hitter.
7H0SABE57O9N,play,The hitter hit the ball and it bounced on the ground inside the diamond.
QLNUQ8VN08RP,foul,The batter hit the ball into the side stands.
BDKBYJYILHPA,foul,The ball was hit and went outside of the baseline.
LIMWXLQUN7ZZ,ball,The ball hit the ground before it reached the hitter.
0MJCZ21994VE,strike,The pitcher threw a ball inside the strike zone and the batter failed to try to hit it.
XKOHJOMTV9RE,out,An outfielder caught the ball that was hit inside the diamond.
B1L3S7NRJ1U9,play,The batter hit a ball that landed on the ground in front of him.
