"The fielder caught the ball in the air in shallow center field.", "the fielder caught the ball in the air in center field. the fielder caught the ball in the air in shallow center field"
"The fielder caught the ball for an out.", "the fielder caught the ball for an out"
"It was a home run.", "it was a home run"
"A home run was hit out of the playing grounds.", ""
"The batter hit a ball.", "the batter hit a ball"
"A ball was caught by the shortstop.", "a ball was caught by the shortstop"
"The pitcher threw the ball.", "the pitcher threw the ball"
"The ball crossed the plate outside of the strike zone.", ""
"The batter hit the ball.", "the batter hit the ball"
"The ball did not stay in the field of play.", "the ball did not stay in the field of. the ball did not stay in the field of play"
"The umpire ruled that the batter did not swing.", ""
"It was a ball.", "it was a ball"
"The first base umpire declared that the batter did not take a full swing.", ""
"The pitch was called a ball.", "the pitch was called a ball"
"The ball hit the ground before it was caught.", ""
"The batted ball landed in shallow center field.", "the ball landed in center field. the batted ball landed in center field. the ball landed in shallow center field. the batted ball landed in shallow center field"
"The batted ball landed for a hit.", "the ball landed for a hit. the batted ball landed for a hit"
"The pitch crossed the plate inside of the strike zone.", ""
"The pitch was called a strike by the umpire.", "the pitch was called a strike by the umpire"
"The hitter hit the ball straight up the middle to the pitcher.", "the hitter hit the ball straight up the middle to the pitcher"
"The pitcher caught it.", "the pitcher caught it"
"The pitcher threw to 2nd base.", "the pitcher threw to 2nd base. the pitcher threw to. the pitcher threw to base"
"The pitcher got the runner out.", "the pitcher got the runner"
"The hitter hit the ball straight up the middle.", "the hitter hit the ball straight up the middle"
"The hitter hit the ball to the pitcher.", "the hitter hit the ball to the pitcher"
"The pitcher got the runner out.", "the pitcher got the runner"
"The 2nd baseman threw to first baseman.", "the baseman threw to first baseman. the 2nd baseman threw to first baseman. the baseman threw to. the 2nd baseman threw to. the baseman threw to baseman. the 2nd baseman threw to baseman"
"The 2nd baseman got the hitter out.", "the baseman got the hitter. the 2nd baseman got the hitter"
"The umpire behind the plate appealed to the first base umpire.", "the umpire behind the plate appealed to the base umpire. the umpire behind the plate appealed to the first base umpire"
"The first base umpire had a better view.", "the base umpire had a view. the base umpire had a better view. the first base umpire had a view. the first base umpire had a better view"
"The first base umpire declared that the batter did not take a full swing.", ""
"The pitch was called a ball,rather than a strike.", "the pitch was called a ball rather than a strike"
"The batter came all the way around on his swing.", ""
"The ball contacted the screen behind home plate making it a foul ball.", ""
"It was.", "it was"
"The batter hit the ball into the air.", "the batter hit the ball into the air"
"The ball was outside the strike zone.", "the ball was outside the strike zone"
"The ball bounced on the ground towards the second baseman.", "the ball bounced on the ground towards the baseman. the ball bounced on the ground towards the second baseman"
"The batter hit a popup.", "the batter hit a popup"
"The ball did not go through the strike zone.", "the ball did not go through the strike zone"
"This is a ground out.", "this is a ground out"
"The third baseman threw to first base for the out.", "the baseman threw to base for the out. the third baseman threw to base for the out. the baseman threw to first base for the out. the third baseman threw to first base for the out"
"This is labeled as a catch.", "this is labeled as a catch"
"The batter hit it up in the air.", "the batter hit it in the air"
"The umpire called the pitch a ball for being too high.", ""
"The batter sent it into left field.", "the batter sent it into left field. the batter sent it into. the batter sent it into field"
"The batter swung the bat.", "the batter swung the bat"
"The batter made contact.", "the batter made contact"
"The batter hit the ball in play in the air.", "the batter hit the ball in in the air. the batter hit the ball in play in the air"
"Hitter didn't swing his bat.", "hitter did n't swing bat"
"The center baseman caught the ball for an out.", "the center baseman caught the ball for an out"
"A ball was caught by the shortstop.", "a ball was caught by the shortstop"
"The batter popped it to shallow center.", "the batter popped it to shallow center. the batter popped it to. the batter popped it to center"
"The strike had to be called by the umpire.", ""
"The ball was hit over the outfield wall on the fly,in fair territory.", "the ball was hit over the outfield wall on the fly in fair territory. the ball was hit over the outfield wall on the fly in. the ball was hit over the outfield wall on the fly in territory"
"The first baseman caused the batter to be out.", ""
"It was caught by the shortstop.", "it was caught by the shortstop"
"The first baseman caught the ball.", "the baseman caught the ball. the first baseman caught the ball"
"A popup was caught by the left fielder.", "a popup was caught by the fielder. a popup was caught by the left fielder"
"The batter Altuve made contact with the pitch.", ""
"The batter did not swing.", "the batter did not swing"
"He was thrown out at first.", "he was thrown"
"The batter reached first base.", "the batter reached base. the batter reached first base"
"The batter did not swing at the pitch.", "the batter did not swing at the pitch"
"The umpire ruled it a strike.", "the umpire ruled it a strike"
"The pitch crossed the plate over the top of the strike zone.", "the pitch crossed the plate over the top of the strike zone"
"This makes it a foul ball.", ""
"The ball was caught by the first baseman.", "the ball was caught by the baseman. the ball was caught by the first baseman"
"The ball was caught by the right fielder in the air for an out.", "the ball was caught by the fielder in the air for an out. the ball was caught by the right fielder in the air for an out"
"The ball was not caught.", "the ball was not caught"
"The fielder caught the ball for an out.", "the fielder caught the ball for an out"
"The batter missed the ball.", "the batter missed the ball"
"The batter knocked the ball out of play.", ""
"The batter did not take a full swing.", "the batter did not take a swing. the batter did not take a full swing"
"The batter hit a ball.", "the batter hit a ball"
"The shortstop threw on to first base for an out.", "the shortstop threw to base for an out. the shortstop threw to first base for an out"
"The pitch crossed the plate in the strike zone.", "the pitch crossed the plate in the strike zone"
"The ball bounced to the third baseman.", "the ball bounced to the baseman. the ball bounced to the third baseman"
"The ball did not end up in the field of play.", "the ball did not end in the field of. the ball did not end in the field of play"
"The player made contact hitting the ball back to the pitcher.", ""
"A ground out isn't an option.", "a ground out is n't an option"
"An out ended the inning.", "an out ended the inning"
"The batter hit the ball on the ground to the shortstop.", "the batter hit the ball on the ground to the shortstop"
"It crossed into foul territory before landing.", "it crossed into foul territory. it crossed into. it crossed into territory"
"The batter took a check swing.", "the batter took a check swing"
"The batter hit it towards right field.", "the batter hit it towards right field. the batter hit it towards. the batter hit it towards field"
"The pitch was outside the strike zone.", "the pitch was outside the strike zone"
"The third baseman collected it.", "the baseman collected it. the third baseman collected it"
"It is a home run.", "it is a home run"
"It is a strike.", "it is a strike"
"This resulted in a foul ball.", "this resulted in a ball. this resulted in a foul ball"
"The batter connected with the ball.", ""
"The ball bounced on the ground.", "the ball bounced on the ground"
"He hit it outside the foul lines.", "he hit it outside the lines. he hit it outside the foul lines"
"The ball was not caught by the outfielder.", "the ball was not caught by the outfielder"
"It was hit to the 3rd base.", "it was hit to the base. it was hit to the 3rd base"
"The batter sent it into left field.", "the batter sent it into left field. the batter sent it into. the batter sent it into field"
"The batter made contact with the ball.", "the batter made contact with the ball"
"Altuve's batted ball landed in the right field grass for a hit.", "ball landed in the field grass for a hit. ball landed in the right field grass for a hit. batted ball landed in the field grass for a hit. batted ball landed in the right field grass for a hit"
"The runner made it to second base without being tagged or forced out.", ""
"The hitter didn't swing.", "the hitter did n't swing"
"A home run was hit out of the playing grounds.", ""
"It was outside the strike zone.", "it was outside the strike zone"
"The batter hit it to left center field.", "the batter hit it to left center field. the batter hit it to center field"
"The batter hit it into the air,past the foul line.", "the batter hit it into the air past the line. the batter hit it into the air past the foul line"
"The 3rd base easily throws out.", "the base easily throws. the 3rd base easily throws"
"The batted ball went into the stands in foul territory.", "the ball went into the stands in foul territory. the batted ball went into the stands in foul territory. the ball went into the stands in. the batted ball went into the stands in. the ball went into the stands in territory. the batted ball went into the stands in territory"
"It was not in play.", "it was not in. it was not in play"
"The batter swung at the pitch.", "the batter swung at the pitch"
"The ball did not appear to be in the strike zone from the angle.", ""
"It landed outside of the strike zone without being swung at by the batter.", ""
"The batter Holliday made contact with the pitch,hitting it into the air.", ""
"The runner is out.", "the runner is out"
"The batter hit it into foul territory.", "the batter hit it into foul territory. the batter hit it into. the batter hit it into territory"
"The batter missed.", "the batter missed"
"An opposing team member caught the ball before it landed.", ""
"The ball crossed the plate outside the strike zone.", "the ball crossed the plate outside the strike zone"
"The left fielder caught the ball before it hit the ground.", ""
"The batter's swing connected with the ball.", ""
"The ball was caught in the air.", "the ball was caught in the air"
"It was a ground ball to the shortstop.", "it was a ground ball to the shortstop"
"The outfielder caught it in the air.", "the outfielder caught it in the air"
"The batter hit a fly ball to left field.", "the batter hit a fly ball to left field. the batter hit a fly ball to. the batter hit a fly ball to field"
"The batter swung and missed hitting the ball.", ""
"The ball did not appear to be in the strike zone.", ""
"The ball was not thrown through the strike zone.", "the ball was not thrown through the strike zone"
"It was a strike.", "it was a strike"
"The shortstop threw to the runner at first.", "the shortstop threw to the runner"
"The ball went through the strike zone.", "the ball went through the strike zone"
"It was collected by the third baseman.", "it was collected by the baseman. it was collected by the third baseman"
"The ball landed within the strike zone.", "the ball landed within the strike zone"
"The third baseman threw to second base.", "the baseman threw to second base. the third baseman threw to second base. the baseman threw to. the third baseman threw to. the baseman threw to base. the third baseman threw to base"
"It was a home run.", "it was a home run"
"It was caught.", "it was caught"
"It was caught midair by a defender.", "it was caught midair by a defender"
"The fielder caught a fly ball in the air.", "the fielder caught a fly ball in the air"
"It did not go into the field of play.", "it did not go into the field of. it did not go into the field of play"
"The batter swung.", "the batter swung"
"It was a single.", "it was a single"
"The batter did not hit the ball.", "the batter did not hit the ball"
