"The bird has belly.", "The bird has belly."
"The bird has sharp pointed beak with its crown.", "The bird has beak. The bird has sharp pointed beak. The bird has beak with its crown. The bird has sharp pointed beak with its crown. This bird has sharp beak. This bird has pointed beak."
"This bird is all white except for a black cap.", "This bird is all white except for a cap. This bird is all white except for a black cap."
"The short fat bird has a white underbelly.", "The bird has a underbelly. The fat bird has a underbelly. The bird has a white underbelly. The fat bird has a white underbelly. The short bird has a underbelly. The short bird has a white underbelly. The short fat bird has a underbelly. The short fat bird has a white underbelly."
"The bird has a red throat.", "The bird has a throat. The bird has a red throat."
"This bird has yellow feathers.", "This bird has feathers. This bird has yellow feathers."
"The bird is blue with a long tail with grey tip.", "The bird is blue. The bird is blue with a tail. The bird is blue with a long tail. The bird is blue with a tail with tip. The bird is blue with a long tail with tip. The bird is blue with a tail with grey tip. The bird is blue with a long tail with grey tip."
"A short beaked bird with a dark gray cheek patch.", "A bird with a cheek patch. A short bird with a cheek patch. A beaked bird with a cheek patch. A short beaked bird with a cheek patch. A bird with a dark cheek patch. A beaked bird with a dark cheek patch. A short bird with a dark cheek patch. A short beaked bird with a dark cheek patch. A bird with a gray cheek patch. A short bird with a gray cheek patch. A bird with a dark gray cheek patch. A short bird with a dark gray cheek patch. A beaked bird with a gray cheek patch. A beaked bird with a dark gray cheek patch. A short beaked bird with a gray cheek patch. A short beaked bird with a dark gray cheek patch."
"A bird with a small pointed bill.", "A bird with a bill. A bird with a pointed bill. A bird with a small bill. A bird with a small pointed bill."
"Medium sized bird that is white all over.", "Medium sized bird that is white all over. Medium bird that is white all over. Sized bird that is white all over. Bird that is white all over. Medium sized bird that is white. Medium bird that is white. Sized bird that is white. Bird that is white."
"The bird has a breast that is red.", "The bird has a breast that is red."
"A small sized bird with a white underbelly.", "A bird with a underbelly. A sized bird with a underbelly. A bird with a white underbelly. A sized bird with a white underbelly. A small bird with a underbelly. A small bird with a white underbelly. A small sized bird with a underbelly. A small sized bird with a white underbelly."
"This is a grey bird with yellow feet.", "This is a bird. This is a grey bird. This is a bird with feet. This is a grey bird with feet. This is a bird with yellow feet. This is a grey bird with yellow feet."
"This bird has black cheek patch.", "This bird has cheek patch. This bird has black cheek patch."
"A swimming bird with a black ace.", "A swimming bird with a ace. A swimming bird with a black ace."
"Its foot are black.", "Its foot are black."
"A yellow bird with a tint of black wings with an average head.", "A bird with a tint. A yellow bird with a tint. A bird with a tint of wings. A bird with a tint of black wings. A yellow bird with a tint of wings. A yellow bird with a tint of black wings. A bird with a tint of wings with an head. A bird with a tint of black wings with an head. A bird with a tint of wings with an average head. A bird with a tint of black wings with an average head. A yellow bird with a tint of wings with an head. A yellow bird with a tint of wings with an average head. A yellow bird with a tint of black wings with an head. A yellow bird with a tint of black wings with an average head. A bird with a tint with an head. A bird with a tint with an average head. A yellow bird with a tint with an head. A yellow bird with a tint with an average head."
"This is a small bird that is tan.", "This is a bird that is tan. This is a small bird that is tan."
"This bird has a orange head.", "This bird has a head. This bird has a orange head."
"A white breasted bird with yellow wingbars.", "A bird with wingbars. A bird with yellow wingbars. A breasted bird with wingbars. A white breasted bird with wingbars. A breasted bird with yellow wingbars. A white breasted bird with yellow wingbars."
"This bird has a white belly with a black crown on its head.", "This bird has a belly. This bird has a white belly. This bird has a belly with a crown. This bird has a white belly with a crown. This bird has a belly with a crown on its head. This bird has a white belly with a crown on its head. This bird has a belly with a black crown. This bird has a white belly with a black crown. This bird has a belly with a black crown on its head. This bird has a white belly with a black crown on its head."
"This bird has a large beak.", "This bird has a beak. This bird has a large beak."
"This is a blue bird with cream colored belly.", "This is a bird. This is a blue bird. This is a bird with belly. This is a blue bird with belly. This is a bird with colored belly. This is a blue bird with colored belly."
"A small orange billed bird with a brown orange crest.", "A bird with a orange crest. A bird with a brown orange crest. A billed bird with a orange crest. A billed bird with a brown orange crest."
"A brown bird with white spots all over.", "A bird with spots all over. A bird with white spots all over. A brown bird with spots all over. A brown bird with white spots all over."
"A black bird with red rimmed eyes.", "A bird with eyes. A bird with red eyes. A bird with rimmed eyes. A bird with red rimmed eyes. A black bird with eyes. A black bird with rimmed eyes. A black bird with red eyes. A black bird with red rimmed eyes."
"This bird has a brown rusty body with black on the top.", "This bird has a body. This bird has a body with black. This bird has a brown body. This bird has a brown body with black. This bird has a rusty body. This bird has a brown rusty body. This bird has a rusty body with black. This bird has a brown rusty body with black. This bird has a body on the top. This bird has a body with black on the top. This bird has a rusty body on the top. This bird has a rusty body with black on the top. This bird has a brown body on the top. This bird has a brown rusty body on the top. This bird has a brown body with black on the top. This bird has a brown rusty body with black on the top."
"This small yellow bird has a gray bill.", "This bird has a bill. This yellow bird has a bill. This bird has a gray bill. This yellow bird has a gray bill. This small bird has a bill. This small bird has a gray bill. This small yellow bird has a bill. This small yellow bird has a gray bill."
"The neck of the bird is black.", "The neck is black. The neck of the bird is black."
"The bird has a white body.", "The bird has a body. The bird has a white body."
"This bird is off white.", "This bird is off white."
"Large gray toned bird with black eyes.", "Bird with eyes. Gray bird with eyes. Toned bird with eyes. Gray toned bird with eyes. Bird with black eyes. Toned bird with black eyes. Gray bird with black eyes. Gray toned bird with black eyes. Large bird with eyes. Large gray bird with eyes. Large bird with black eyes. Large gray bird with black eyes. Large toned bird with eyes. Large toned bird with black eyes. Large gray toned bird with eyes. Large gray toned bird with black eyes."
"This little bird has a white belly.", "This bird has a belly. This bird has a white belly. This little bird has a belly. This little bird has a white belly."
"A bird with a very small pointed bill.", "A bird with a bill. A bird with a very small bill. A bird with a pointed bill. A bird with a very small pointed bill."
"Large eyed bright bird with yellow as the main colors.", "Bird with yellow. Eyed bird with yellow. Bright bird with yellow. Eyed bright bird with yellow. Large bird with yellow. Large bright bird with yellow. Large eyed bird with yellow. Large eyed bright bird with yellow. Bird with yellow as the colors. Bird with yellow as the main colors. Bright bird with yellow as the colors. Bright bird with yellow as the main colors. Eyed bird with yellow as the colors. Eyed bird with yellow as the main colors. Eyed bright bird with yellow as the colors. Eyed bright bird with yellow as the main colors. Large bird with yellow as the colors. Large bird with yellow as the main colors. Large eyed bird with yellow as the colors. Large eyed bird with yellow as the main colors. Large bright bird with yellow as the colors. Large bright bird with yellow as the main colors. Large eyed bright bird with yellow as the colors. Large eyed bright bird with yellow as the main colors."
"This is a bird with blue wings.", "This is a bird. This is a bird with wings. This is a bird with blue wings."
"Small bird with cream underside.", "Bird with cream underside. Small bird with cream underside."
"This tiny bird is colorful with humming wings.", "This bird is colorful with wings. This tiny bird is colorful with wings. This bird is colorful with humming wings. This tiny bird is colorful with humming wings."
"The bird has curved feet.", "The bird has feet. The bird has curved feet."
"The bird is yellow with a small brown beak.", "The bird is yellow with a beak. The bird is yellow with a small beak. The bird is yellow with a brown beak. The bird is yellow with a small brown beak."
"This whitish bird has bright yellow rectrices.", "This bird has rectrices. This bird has bright rectrices. This bird has yellow rectrices. This bird has bright yellow rectrices. This whitish bird has rectrices. This whitish bird has yellow rectrices. This whitish bird has bright rectrices. This whitish bird has bright yellow rectrices."
"This bright little yellow bird has wings of yellow.", "This bird has wings. This bright bird has wings. This little bird has wings. This bright little bird has wings. This yellow bird has wings. This little yellow bird has wings. This bright yellow bird has wings. This bright little yellow bird has wings. This bird has wings of yellow. This bright bird has wings of yellow. This yellow bird has wings of yellow. This bright yellow bird has wings of yellow. This little bird has wings of yellow. This little yellow bird has wings of yellow. This bright little bird has wings of yellow. This bright little yellow bird has wings of yellow."
"A red bird with a gray bill with a black feet.", "A bird with a bill. A red bird with a bill. A bird with a gray bill. A red bird with a gray bill. A bird with a bill with a feet. A bird with a bill with a black feet. A bird with a gray bill with a feet. A bird with a gray bill with a black feet. A red bird with a bill with a feet. A red bird with a bill with a black feet. A red bird with a gray bill with a feet. A red bird with a gray bill with a black feet."
"A small yellow bird with a small red eye.", "A bird with a eye. A yellow bird with a eye. A bird with a red eye. A yellow bird with a red eye. A bird with a small eye. A bird with a small red eye. A yellow bird with a small eye. A yellow bird with a small red eye. A small bird with a eye. A small yellow bird with a eye. A small bird with a small eye. A small yellow bird with a small eye. A small bird with a red eye. A small bird with a small red eye. A small yellow bird with a red eye. A small yellow bird with a small red eye."
"A swimming bird with the top of the body that is black.", "A swimming bird with the top that is black. A swimming bird with the top of the body that is black."
