manual_id,final_id,group_id,raw_id,freq,text
0,0,106,164,244,The batter did not swing.
0,0,106,447,66,The batter did n't swing.
0,0,106,552,8,The hitter did not swing.
0,0,106,605,3,The hitter did n't swing.
0,0,106,2199,10,The batter did nt swing.
0,0,106,4210,1,The the hitter did not swing.
0,0,106,4293,2,The batter does n't swing.
1,1,355,91,16,The batter missed it.
1,1,355,146,122,The batter missed.
2,2,814,221,465,The batter hit the ball.
2,2,814,646,11,The batter hit a ball.
2,2,814,674,3,The batter hit ball.
2,2,814,1630,11,The batter hit the ball for a ball.
2,2,814,1720,7,The batter hits the ball.
2,2,814,3164,1,The batter hit the the ball.
3,3,179,384,84,The batter hit the ball on the ground.
3,3,179,484,7,The batter hit it on the ground.
3,3,179,675,1,The batter hit ball on the ground.
3,3,179,813,3,The hitter hit the ball on the ground.
3,3,179,953,2,The batter hit the ball into the ground.
3,3,179,954,1,The batter hit the ball into the ground in play.
3,3,179,960,1,The batter hit the ball on the ground in play.
3,3,179,1513,1,The batter hit it into play on the ground.
3,3,179,1892,2,The ball was hit in play on the ground by the batter.
3,3,179,1897,2,The batter hit the ball into play on the ground.
3,3,179,1922,2,The batter hit on the ground.
3,3,179,3270,1,The batter hit the ball on the ground on the side.
3,3,179,3487,1,The batter hit the ball on the ground for a hit.
4,4,112,55,26,The umpire called it a strike.
4,4,112,395,8,The ball was called a strike by the umpire.
4,4,112,1294,6,The pitch was called a strike by the umpire.
4,4,112,1382,1,The umpire called strike.
4,4,112,1654,8,The umpire called a strike.
4,4,112,1974,2,The umpire calls it a strike.
4,4,112,2322,1,The umpire called the ball a strike.
4,4,112,2484,1,The ball called a strike by the umpire.
5,5,111,7,53,It was caught.
5,5,111,469,10,That was caught.
5,6,1849,402,43,Where it was caught.
-1,7,328,92,128,It was.
-1,7,328,3775,5,It is.
6,8,114,66,14,The batter hit it into foul territory.
6,8,114,496,20,The batter hit the ball into foul territory.
6,8,114,595,6,The batter hit the ball in foul territory.
6,8,114,2480,3,The batter hit it in foul territory.
6,8,114,2488,1,The batter hit it foul territory.
6,8,114,2951,2,The batter hit the ball to foul territory.
6,8,114,3613,1,The batter hit a ball in foul territory.
7,9,3482,61,277,The batter swung.
8,10,327,354,111,The batter made contact.
8,10,327,1840,2,The batter make contact.
8,10,327,2304,3,The batter makes contact.
9,11,811,265,57,It hit the ground.
9,11,811,1852,1,It hits the ground.
9,11,811,2747,4,Which hit the ground.
3,12,440,5,7,The hitter hit a ground ball.
3,12,440,323,32,The batter hit a ground ball.
3,12,440,2416,1,The batter hit a groundball.
3,12,440,3976,1,The hitter hits a ground a ball.
2,13,242,64,112,The batter hit it.
2,13,242,235,16,The batter hit.
2,13,242,1632,3,The batter hit the ball for a hit.
2,13,242,1928,2,The batter got a hit.
2,13,242,2491,5,The batter hit it for a hit.
2,13,242,3522,1,The batter smashed the ball for a hit.
2,13,242,3523,1,The batter smashed the ball through the side.
2,13,242,3524,1,The batter smashed the ball through the side for a hit.
2,13,242,4230,1,The batter gets a hit.
2,13,242,4343,1,The batter smashing it through the side.
2,13,242,4344,1,The batter smashing it through the side for a hit.
2,13,242,4477,1,The batter hitting.
2,14,413,166,52,The ball was hit.
2,14,413,1965,3,The ball is hit.
10,15,805,260,4,The batter hit it into the air.
10,15,805,305,49,The batter hit the ball in the air.
10,15,805,678,1,The batter hit ball in the air.
10,15,805,695,7,The batter hit it in the air.
10,15,805,950,12,The batter hit the ball into the air.
-1,16,343,209,79,It went.
-1,16,343,4238,1,It goes.
11,17,102,665,6,The batter hit the ball foul.
11,17,102,1351,7,The batter hit a foul ball.
11,17,102,1631,11,The batter hit the ball for a foul ball.
11,17,102,1971,1,The batter hits the ball foul.
11,17,102,1976,1,The batter hits the ball for a foul.
11,17,102,2875,4,The batter hit a foul.
12,18,391,249,28,It was a strike.
12,18,391,1876,2,It was the strike.
12,18,391,2521,5,It is a strike.
-1,19,3472,277,95,The ball was.
13,20,44,579,29,The fielder caught the ball.
13,20,44,692,1,A fielder caught the ball.
13,20,44,1882,6,The outfield player caught the ball.
13,20,44,4275,1,The fielder catches the ball.
-1,21,3222,39,45,The batter.
14,22,215,368,8,It was a hit.
14,22,215,570,4,Was hit.
14,22,215,862,42,It was hit.
