manual_id,final_id,group_id,start_id,freq,text
0,0,16,135,57, The batter didn't swing.
0,0,16,392,7, Batter did not swing.
0,0,16,403,7, The batter did nt swing.
0,0,16,45,202, The batter did not swing.
1,1,26,266,9, Batter missed.
1,1,26,30,14, The batter missed it.
1,1,26,42,98, The batter missed.
2,2,0,17,224, The batter swung.
3,2,0,179,3, The batter hit the ball with the bat.
3,2,0,19,91, The batter hit it.
3,2,0,191,10, The batter hit a ball.
3,2,0,195,14, Batter hit the ball.
3,2,0,196,3, The batter hit ball.
2,2,0,238,10, The batter swung the bat.
3,2,0,251,3, The batter hit the ball in play.
2,2,0,257,4, The batter swung at it.
3,2,0,264,5, Batter hit it.
2,2,0,265,14, Batter swung.
2,2,0,284,3, The batter swung at a pitch.
3,2,0,326,9, The batter hit the ball for a ball.
3,2,0,328,3, The batter hit the ball for a hit.
2,2,0,330,6, The batter swung contact.
2,2,0,331,6, The batter swung at the ball contact.
3,2,0,339,7, The batter hits the ball.
2,2,0,365,3, The batter swung the ball.
2,2,0,39,28, The batter swung at the pitch.
3,2,0,404,8, Batter hit ball.
3,2,0,426,3, The batter hit it for a hit.
2,2,0,460,6, The batter swung bat.
2,2,0,461,6, The batter swung his bat.
2,2,0,462,3, The batter swung bat at the ball.
2,2,0,463,3, The batter swung his bat at the ball.
3,2,0,61,401, The batter hit the ball.
3,2,0,63,11, The batter hit.
3,2,0,76,8, The batter hit the ball into play.
2,2,0,88,16, The batter swung at the ball.
4,3,23,144,10, That was caught.
4,3,23,2,78, It was caught.
4,3,23,242,13, Which was caught.
5,4,220,208,24, The batter missed the ball.
6,5,31,105,72, The batter hit the ball on the ground.
6,5,31,150,7, The batter hit it on the ground.
7,6,49,31,128, It was.
7,6,49,494,4, It is.
8,7,24,429,3, It was hit on the ground.
8,7,24,448,4, Which hit the ground.
8,7,24,71,51, It hit the ground.
9,8,1,162,18, The batter hit the ball into foul territory.
9,8,1,175,4, The batter hit the ball into the stands in foul territory.
9,8,1,178,5, The batter hit the ball in foul territory.
9,8,1,21,14, The batter hit it into foul territory.
9,8,1,424,3, The batter hit it in foul territory.
6,9,335,80,30, The batter hit a ground ball.
10,10,15,117,9, It is a ball.
10,10,15,157,3, Which is a ball.
10,10,15,22,15, It was a ball.
10,10,15,437,5, It's a ball.
10,10,15,471,5, This is a ball.
10,10,15,51,16, It a ball.
11,11,22,204,3, Batter made contact.
11,11,22,353,3, The batter made some contact.
11,11,22,92,85, The batter made contact.
12,12,289,74,90, The ball was.
13,13,81,427,5, It is a strike.
13,13,81,67,26, It was a strike.
14,14,320,16,23, The umpire called it a strike.
15,15,85,250,10, The batter hit the ball into the air.
15,15,85,345,3, Batter hit the ball in the air.
15,15,85,78,42, The batter hit the ball in the air.
16,16,38,231,5, Ball was hit.
16,16,38,232,4, Ball hit.
16,16,38,379,3, The ball is hit.
16,16,38,47,41, The ball was hit.
17,17,358,172,27, The fielder caught the ball.
18,18,2,192,6, The batter hit the ball foul.
18,18,2,289,6, The batter hit a foul ball.
18,18,2,327,9, The batter hit the ball for a foul ball.
19,19,258,55,73, It went.
20,20,40,134,15, The ball was in the strike zone.
20,20,40,329,5, The ball landed in the strike zone.
3,21,352,186,28, The hitter hit the ball.
21,22,286,0,11, Who caught the ball.
22,23,192,24,45, The ball went.
23,24,309,79,29, It landed.
24,25,346,11,44, The ball landed.
25,26,304,240,30, It was hit.
25,26,304,96,6, It was a hit.
26,27,14,130,9, The outfielder caught the ball.
26,27,14,369,3, The outfield player caught the ball.
26,27,14,370,3, The outfield player caught the ball His.
27,28,341,125,15, It was in the strike zone.
28,29,264,37,23, The umpire called it a ball.
29,30,306,183,9, The fielder caught it.
30,31,97,252,9, The ball was caught.
31,32,78,143,16, It bounced.
31,32,78,457,3, Which bounced.
32,33,283,98,7, The batter did not make contact.
33,34,6,123,4, It went out of the strike zone.
33,34,6,133,12, It was out of the strike zone.
33,34,6,213,3, That was out of the strike zone.
33,34,6,278,3, Out of the strike zone.
33,34,6,290,3, It was out of strike zone.
-1,35,115,300,19, This is labeled.
-1,36,351,6,15, The hitter swung.
-1,37,44,359,4, The ball wasn't caught.
-1,37,44,95,10, The ball was not caught.
-1,38,357,140,11, He swung.
-1,39,353,34,6, The outfielder caught it.
-1,40,46,245,12, The ball flew.
-1,40,46,246,3, The ball flew in the air.
-1,41,129,35,13, The batter hit a fly ball.
-1,41,129,393,4, Batter hit a fly ball.
-1,42,281,13,21, The pitch was.
-1,43,127,115,16, The ball crossed the plate.
-1,44,277,49,11, It was not caught.
-1,45,67,384,6, A ball settled on foul territory.
-1,46,27,124,7, The batter was.
-1,46,27,230,10, The batter is.
-1,47,50,180,7, The ball hit the ground.
-1,47,50,378,3, The ball was hit on the ground.
-1,48,331,4,6, Resulting in a ball.
-1,49,151,215,3, The pitcher threw a ball.
-1,49,151,227,36, The pitcher threw the ball.
-1,49,151,325,3, Pitcher threw the ball.
-1,49,151,335,4, The pitcher threw.
-1,50,266,197,5, The batter caught the ball.
-1,51,172,217,9, The umpire called the pitch a ball.
-1,52,334,205,5, The center fielder caught it.
-1,53,158,138,8, It touched the ground.
-1,54,188,28,4, The batter flew out to center.
-1,55,131,406,6, It landed in the strike zone.
-1,56,148,352,7, The umpire ruled it a strike.
-1,57,20,255,4, The batter hit it into field.
-1,57,20,319,12, The batter hit the ball into field.
-1,57,20,322,10, The batter hit the ball out of play.
-1,57,20,401,7, The batter hit the ball to field.
-1,57,20,428,4, The batter hit it out of play.
-1,57,20,442,5, The batter hit the ball out of the field.
-1,57,20,443,5, The batter hit the ball out of the field of play.
-1,57,20,449,4, The batter hit the ball outside of the field for a ball.
-1,57,20,451,4, The batter hit the ball outside of the field of play for a ball.
-1,57,20,484,3, The batter hit the ball out of the field for a ball.
-1,57,20,486,3, The batter hit the ball out of the field of play for a ball.
-1,57,20,69,6, The batter hit it to field.
-1,57,20,83,7, The batter hit the ball into the field.
-1,57,20,84,6, The batter hit the ball into the field of play.
-1,57,20,86,8, The batter hit the ball outside of the field.
-1,57,20,87,8, The batter hit the ball outside of the field of play.
-1,58,223,286,6, The pitch was called a strike.
-1,59,294,94,7, Out of play.
-1,60,191,101,13, It was fielded.
-1,61,37,139,4, He hit.
-1,61,37,33,8, He hit it.
-1,62,47,416,11, The pitch was called a ball.
-1,63,34,254,4, The ball crossed home plate.
-1,63,34,491,4, The ball crossed the home plate area.
-1,64,90,434,3, The ball was in foul territory.
-1,65,174,249,12, The ball bounced.
-1,66,114,338,6, The batter leaves the ball.
-1,67,12,296,6, The batter's swing connected.
-1,67,12,297,6, The batter's swing connected with the ball.
-1,68,99,270,11, Who caught it.
-1,69,126,276,4, It passed through the strike zone.
-1,70,25,497,3, It was a single.
-1,71,251,43,10, It a strike.
-1,72,19,60,5, The ball went into the strike zone.
-1,72,19,97,3, The ball went through the strike zone.
-1,73,225,75,5, It crossed the plate.
-1,74,53,168,8, The hitter did not swing.
-1,74,53,181,3, The hitter didn't swing.
-1,75,177,104,3, The ball did not cross the plate inside of the strike zone.
-1,76,74,367,3, The umpire didn't call it a strike.
-1,77,9,323,3, The batter hit a home run.
-1,77,9,337,3, The batter hit the ball for a home run.
-1,-1,10,111,10, The batter hit the ball to the third baseman.
-1,-1,10,112,9, The batter hit the ball on the ground to the third baseman.
-1,-1,10,147,5, The batter hit a ground ball to the third baseman.
-1,-1,100,502,3, Which went.
-1,-1,101,280,3, The batter took a pitch.
-1,-1,101,399,5, The batter took the pitch.
-1,-1,102,202,3, It went out of play.
-1,-1,102,503,3, Which went out of play.
-1,-1,103,354,3, The batter failed the ball.
-1,-1,104,441,3, The ball was in the center.
-1,-1,105,411,4, It was caught by the left fielder.
-1,-1,106,381,6, A batted ball settled.
-1,-1,107,438,3, Landed in the zone.
-1,-1,108,398,3, The ball ended up.
-1,-1,109,308,3, The ball was not in the strike zone.
-1,-1,11,118,4, It is a foul ball.
-1,-1,11,129,9, It a foul ball.
-1,-1,11,23,5, It was a foul ball.
-1,-1,11,440,3, It's a foul ball.
-1,-1,11,472,4, This is a foul ball.
-1,-1,110,364,3, You don't have hit as an option.
-1,-1,111,336,3, It was fielded by the shortstop.
-1,-1,112,166,5, The ball was thrown.
-1,-1,113,380,6, A ball settled.
-1,-1,116,229,6, The catcher caught it.
-1,-1,117,210,6, It counts as a strike.
-1,-1,118,360,3, The ball wasn't caught for an out.
-1,-1,119,377,3, The batter hit a fly ball to right field.
-1,-1,120,420,6, It was caught in the air by the fielder.
-1,-1,121,340,3, It goes wide.
-1,-1,122,412,3, The ball was a strike.
-1,-1,123,348,9, The pitch crossed the plate.
-1,-1,124,241,5, Which resulted.
-1,-1,125,279,3, The umpire called it as a strike.
-1,-1,128,203,6, It went into the stands.
-1,-1,13,458,4, The baseman threw it to the baseman.
-1,-1,13,459,3, The baseman threw it to the first baseman.
-1,-1,130,256,3, The batter hit it into left field.
-1,-1,130,320,3, The batter hit the ball into left field.
-1,-1,130,435,3, The batter hit the ball to left field.
-1,-1,130,70,3, The batter hit it to left field.
-1,-1,132,375,3, The umpire called the pitch a strike.
-1,-1,133,422,8, The batter hit a line drive.
-1,-1,134,385,6, A batted ball settled on foul territory.
-1,-1,135,344,4, It was caught by the outfielder.
-1,-1,136,376,3, It was above the strike zone.
-1,-1,137,470,3, It was out of the field of play.
-1,-1,138,477,4, Who threw the ball.
-1,-1,139,260,7, Who threw to base.
-1,-1,140,302,6, This is labeled as a foul.
-1,-1,141,268,4, Who threw it.
-1,-1,142,299,3, The batter got on base.
-1,-1,143,190,6, The left fielder caught the ball.
-1,-1,144,466,4, It would not matter.
-1,-1,145,415,3, The hitter was thrown out.
-1,-1,146,313,8, The baseman caught the ball.
-1,-1,147,193,8, It was caught for an out.
-1,-1,147,36,4, It was caught for the out.
-1,-1,149,244,8, It was caught by the catcher.
