manual_id,final_id,group_id,simple_prune_id,raw_id,freq,text
0, 0, 97, 66, 164, 244,"The batter did not swing."
0, 0, 97, 160, 447, 66,"The batter didn't swing."
0, 0, 97, 201, 552, 8,"The hitter did not swing."
0, 0, 97, 220, 605, 3,"The hitter didn't swing."
0, 0, 97, 508, 2199, 10,"The batter did nt swing."
1, 1, 18, 36, 91, 16,"The batter missed it."
1, 1, 18, 59, 146, 122,"The batter missed."
1, 1, 18, 251, 720, 27,"The batter missed the ball."
2, 2, 3, 25, 61, 277,"The batter swung."
3, 2, 3, 27, 64, 112,"The batter hit it."
3, 2, 3, 83, 221, 465,"The batter hit the ball."
3, 2, 3, 86, 235, 16,"The batter hit."
2, 2, 3, 116, 348, 22,"The batter swung at the ball."
3, 2, 3, 218, 602, 3,"The batter hit the ball with the bat."
3, 2, 3, 221, 607, 5,"The hitter hit it."
3, 2, 3, 226, 616, 30,"The hitter hit the ball."
3, 2, 3, 232, 646, 11,"The batter hit a ball."
3, 2, 3, 239, 674, 3,"The batter hit ball."
2, 2, 3, 283, 854, 13,"The batter swung the bat."
2, 2, 3, 318, 1113, 5,"The batter swung at it."
3, 2, 3, 408, 1630, 11,"The batter hit the ball for a ball."
3, 2, 3, 410, 1632, 3,"The batter hit the ball for a hit."
3, 2, 3, 420, 1720, 7,"The batter hits the ball."
3, 2, 3, 455, 1888, 4,"The ball was hit by the batter."
2, 2, 3, 473, 1962, 5,"The batter swings."
3, 2, 3, 532, 2491, 5,"The batter hit it for a hit."
2, 2, 3, 577, 3044, 8,"The batter swung bat."
2, 2, 3, 578, 3045, 5,"The batter swung bat at the ball."
4, 3, 26, 2, 5, 7,"The hitter hit a ground ball."
4, 3, 26, 109, 323, 32,"The batter hit a ground ball."
4, 3, 26, 131, 384, 84,"The batter hit the ball on the ground."
4, 3, 26, 180, 484, 7,"The batter hit it on the ground."
4, 3, 26, 270, 813, 3,"The hitter hit the ball on the ground."
5, 4, 71, 3, 7, 53,"It was caught."
5, 4, 71, 172, 469, 10,"That was caught."
5, 4, 71, 290, 880, 13,"Which was caught."
6, 5, 53, 95, 265, 57,"It hit the ground."
6, 5, 53, 115, 337, 8,"The ball landed on the ground."
6, 5, 53, 202, 558, 4,"The ball was hit on the ground."
6, 5, 53, 219, 603, 12,"The ball hit the ground."
6, 5, 53, 536, 2567, 4,"It was hit on the ground."
6, 5, 53, 558, 2747, 4,"Which hit the ground."
7, 6, 392, 145, 402, 43,"Where it was caught."
8, 7, 164, 37, 92, 128,"It was."
8, 7, 164, 618, 3775, 5,"It is."
9, 8, 22, 156, 429, 9,"The outfielder caught the ball."
9, 8, 22, 209, 579, 29,"The fielder caught the ball."
9, 8, 22, 452, 1882, 6,"The outfield player caught the ball."
10, 9, 5, 82, 220, 6,"The ball went into the strike zone."
10, 9, 5, 124, 369, 3,"The ball went through the strike zone."
10, 9, 5, 159, 446, 20,"The ball was in the strike zone."
10, 9, 5, 282, 845, 4,"The pitch was in the strike zone."
10, 9, 5, 411, 1637, 5,"The ball landed in the strike zone."
10, 9, 5, 592, 3235, 5,"The pitch went through the strike zone."
11, 10, 46, 118, 354, 111,"The batter made contact."
11, 10, 46, 440, 1847, 3,"The batter made some contact."
11, 10, 46, 518, 2304, 3,"The batter makes contact."
12, 11, 52, 68, 166, 52,"The ball was hit."
12, 11, 52, 70, 183, 3,"This ball was hit."
12, 11, 52, 475, 1965, 3,"The ball is hit."
13, 12, 109, 23, 55, 26,"The umpire called it a strike."
13, 12, 109, 343, 1264, 4,"The umpire called it as a strike."
13, 12, 109, 414, 1654, 8,"The umpire called a strike."
14, 13, 212, 29, 66, 14,"The batter hit it into foul territory."
14, 13, 212, 189, 496, 20,"The batter hit the ball into foul territory."
14, 13, 212, 216, 595, 6,"The batter hit the ball in foul territory."
14, 13, 212, 531, 2480, 3,"The batter hit it in foul territory."
15, 14, 145, 92, 260, 4,"The batter hit it into the air."
15, 14, 145, 105, 305, 49,"The batter hit the ball in the air."
15, 14, 145, 243, 695, 7,"The batter hit it in the air."
15, 14, 145, 303, 950, 12,"The batter hit the ball into the air."
16, 15, 38, 39, 94, 19,"It was a ball."
16, 15, 38, 72, 195, 21,"It a ball."
16, 15, 38, 143, 400, 10,"It is a ball."
16, 15, 38, 184, 488, 3,"Which is a ball."
16, 15, 38, 200, 544, 20,"The ball."
16, 15, 38, 488, 1991, 5,"A ball."
16, 15, 38, 547, 2690, 6,"It's a ball."
16, 15, 38, 586, 3151, 5,"This is a ball."
17, 16, 80, 234, 665, 6,"The batter hit the ball foul."
17, 16, 80, 363, 1351, 7,"The batter hit a foul ball."
17, 16, 80, 409, 1631, 11,"The batter hit the ball for a foul ball."
17, 16, 80, 458, 1902, 5,"The batter foul."
17, 16, 80, 570, 2875, 4,"The batter hit a foul."
18, 17, 8, 67, 165, 9,"This is a strike."
18, 17, 8, 90, 249, 28,"It was a strike."
18, 17, 8, 533, 2521, 5,"It is a strike."
18, 17, 8, 635, 4492, 4,"Which is a strike."
19, 18, 308, 77, 209, 79,"It went."
20, 19, 10, 222, 610, 12,"The fielder caught it."
20, 19, 10, 248, 707, 6,"The center fielder caught it."
20, 19, 10, 504, 2171, 3,"The centerfielder caught it."
21, 20, 346, 98, 277, 95,"The ball was."
22, 21, 54, 47, 114, 30,"The umpire called it a ball."
22, 21, 54, 129, 382, 3,"The ball was called a ball by the umpire."
22, 21, 54, 405, 1604, 7,"It was called a ball by the umpire."
22, 21, 54, 463, 1918, 4,"The umpire called a ball."
22, 21, 54, 525, 2436, 13,"The pitch was called a ball by the umpire."
23, 22, 348, 0, 0, 12,"Who caught the ball."
24, 23, 15, 19, 39, 45,"The batter."
24, 23, 15, 150, 407, 4,"The batter was."
24, 23, 15, 272, 821, 10,"The batter is."
25, 24, 0, 140, 395, 8,"The ball was called a strike by the umpire."
25, 24, 0, 354, 1294, 6,"The pitch was called a strike by the umpire."
